col_a,col_b
bhagavant,"(m) бог, божество (букв. ""владеющий долей"")"
dhīmant,"умный, мудрый"
gacchant,идущий
kṛtavant,делавший
kiyant,сколь большой?
iyant,столь большой; столь маленький
yāvant,"сколь большой (о пространстве, о времени)"
etāvant,"столь большой, столь великий"
tāvant,"такой большой, столь долгий"
śaśin,(m) луна
balin,"сильный, мужественный, (m) воин"
laghīyas,более легкий
laghu,легкий
kṣiprá,быстрый
pṛthú,широкий
tvam tasmāt paṭīyān,ты его (Abl.) умнее
vīreṣu bhīmo bāliṣṭhaḥ,среди героев Бхима - самый сильный.
kánīyaṃs,меньший
kániṣṭha,самый маленький
jyā́yaṃs,более старший
jyéṣṭha,самый старший
nédīyaṃs,более близкий
nédiṣṭha,самый близкий
bhū́yaṃs,больший
bhū́yiṣṭha,самый большой
śréyaṃs,лучший
śréṣṭha,самый хороший
ud,"из, на ..."
úttara,высший
uttáma,"самый высший, крайний"
adha,"внизу, под"
ádhara,низший
adhamá,самый низкий
śuci,чистый
dhanin,богатый
dhīmant,умный
mahant,большой
vidvaṃs,ученый
vāsudeva,"(m) «тот, чей бог Васу», имя царя из рода Вришни, отца Кришны; родовое имя Кришны"
adhamarṇa,(m) должник
aśman,"(m) камень, скала"
sadman,"(m) место сидения, дом, жилище"
ājñā,"(f) приказ, распоряжение"
vyālī,(f) тигрица; самка
kaikeyī,(f) nom.pr  Кайкейи (супруга Дашаратхи и мать Бхараты)
kuṇṭha,"глупый, слабый, вялый"
niviś,"располагаться, поселяться"
sarvathā,"adv. совершенно, полностью"
saha,"с, вместе с"
kevalam,"только, лишь, в одиночестве, один/одна"
kintu (kiṃtu),"но, однако, тем не менее"
āyuṣmant,"долгожизненный, долговечный"
balavant,"сильный, могучий"
dhīmant,"умный, мудрый, разумный"
yaśasvant,"счастливый, славный, известный"
mūrtimant,"воплощающий, олицетворяющий"
paravant,"зависимый от чего-либо (I., G.), несамостоятельный"
bhavant,"существующий, настоящий"
śrīmant,"красивый,знаменитый, известный, почтенный, уважаемый"
kuṇṭhita,"испорченный, исковерканный, затрудненный"
jyeṣṭha,"наилучший, самый старший"
balīyaṃs,"cvp. от balin ""сильный, мужественный"""
paṭu,"ловкий, искусный"
paṭīyaṃs,более ловкий
guṇavant,добродетельный
śubh,"блистать, красоваться"
prathita,"известный, знаменитый"
maṇi,"(m) жемчужина, драгоценный камень"
gala,(m) шея
bāhu,(m) рука
yatra kutrāpi,"всюду, везде"
vinoda,"(m) занятие, времяпровождение"
kāvya-śāstra-vinoda,(m) занятие поэзией и наукой
mūrkha,(m) глупец
vyasana,(n) порок
