col_a,col_b
khād,"есть, питаться"
jīv,"жить, существовать"
pat,"летать, падать"
īkṣ,"смотреть, воспринимать"
kamp,"дрожать, бояться"
bhāṣ,"говорить, общаться"
vart,"вертеться, существовать"
labh,получать
śikṣ,учиться
ṛtu,"(m) время года, сезон"
varṣā,(f) дождь
varṣartu,(m) сезон дождей
varṣā-kāla,(m) время дождей
nabha,(m) небо
megha,(m) облако; туча
meghācchanna,"покрытый облаками, облачный"
gagana,(n) небо
capalā,(f) молния
vi-sphur,VI кл. блистать; вспыхивать
kvacit... kvacit,то... то
andhakāra,"(m,n) мрак, темнота"
sarā,(f) ручей
nadī,(f) река
hrada,(m) озеро
jalaplāvita,"залитый водой, переполненный водой"
vṛṣṭi,(f) ливень
paṃkila,"грязный, размытый"
kṛṣaka,"(m) земледелец, пахарь"
svakṣetra,(n) свое поле
karṣ,"I кл. пахать, обрабатывать"
bīja,"(n) зерно, семя"
vap,I кл. сеять
madhura,сладкий
pakva,спелый
āmraphala,(n) плод манго
jambūphala,(n) плод дерева джамбу
jana,(m) человек
tāni,"(n) от (они), т.е. (их) (А. pl.)"
svāgata,(n) приветствие (по случаю прихода)
svāgataṃ kar,приветствовать приход кого или чего либо (+ G.)
udaya,(m) восход
asta,(m) заход (солнца)
sūrya,"(m) солнце, бог солнца"
prakāśa,"(m) свет, блеск"
kiraṇa,(m) луч
parvata,(m) гора
śikhara,"(m) острый, вершина(горы)"
divasa,"(m) небо, день"
madhyāhna,(m) полдень
sāyaṃkāla,"(m) вечернее время, вечер"
prabhāta,(n) утро
sāya,"(n) исход дня, вечер"
namas,"(n) поклон, почтение"
śobhā,"(f) блеск, великолепие"
niśā,(f) ночь
diśā,(f) направление
pūrva-diśā,"(f) первая, восток"
paścima-diśā,"(f) последняя, запад"
dakṣiṇa-diśā,"(f) южная сторона, юг"
uttara-diśā,"(f) север, более высокий, левый"
