col_a,col_b
me,D. от aham
te,D. от tvam ты
deva,(m) бог
devī,(f) богиня
veda,(m) Веда
deśa,"(m) место, страна"
he,эй!
eva,"частица ""же"""
etad,это
eka,один
ekaika,один за другим
haima,золотой
mahābhārate,"(L. sg.) в эпосе ""Махабхарата"""
go,(f) корова
ghora,ужасный
ghoṣa,(m) шум
loka,(m) мир
bhojana,(n) пища
ojas,"(n) сила, мощь"
odana,(m) рисовая каша
tapovana,(n) лес подвижничества
paura,(m) горожанин
pādau,ноги
yauvana,(n) молодость
audaka,"водяной, водный"
auṣasa,"утренний, ранний"
kṛta,сделанный
vṛṇomi,я выбираю
śṛṇu,слушай!
nṛpati,(m) царь
pṛthivī,(f) земля
sahasra,тысяча
artha,"(n) дело, цель"
ācārya,"(m) учитель, наставник"
karman,(n) дело
car,"ходить, жить"
caryā,"(f) странствие, жизнь"
darś,"видеть, смотреть"
darśana,(n) вид
dīrgha,длинный
durgā,"(f) nom. pr. богини ""Дурга"""
dharma,"(m) закон, правило"
dhārmika,справедливый
nirmala,чистый
pārvatī,"(f) nom. pr. имя богини ""Парвати"""
varṣa,(m) дождь
sarga,"(m) отдел, глава"
prajā,"(f) народ, население; потомство, дети"
prathama,первый
śru,слушать
kutra,куда?
sāvitrī,"(f) nom. pr. имя богини ""Савитри"""
priya,"милый, приятный"
putra,"(m) мальчик, сын"
putrī,"(f) девочка, дочь"
nalo,"(m) nom. pr. ""Наль"" (N. sg.)"
nāma,по
bhra,"(m) бродить, ходить"
netrau,глаза
