col_a,col_b
kṣam,терпеть
kṣānta,"терпевший, терпеливый"
śrānta,уставший
kram,"ступать, шагать, ходить, бродить, гулять"
krānta,бродивший
sthita,стоявший
jñātaṃ mayā yat,"мне (стало) известно, что..."
kārya,который должен быть сделан
jeya,который должен быть побежден
dṛśya,который должен быть увиден
kṛtya,который должен быть сделан
deya,"тот, который должен быть дан"
yaḥ,(m) который
yā,(f) которая
yad,(n) которое
kaścid,"кто-то, мужской род"
kiṃcid,"что-то, средний род"
kācid,"кто-то, женский род."
na kaścid,"никто, мужской род"
na kiṃcid,"""ничто"", средний род"
na kācid,"никто, женский род."
pīḍ,мучить
rud,кричать
pramad,"отворачиваться от..., пренебрегать чем-либо"
vanoddeśa,(m) лесистая местность
paśu,"(m) скот, мелкий домашний скот"
mūṣaka,(m) мышь
prabhu,"(m) господин, повелитель, царь"
samrāj,великодержавный царь
parākrama,"(m) могущество, мощь"
chāyā,(f) тень
nidrā,(f) сон
bila,(n) нора
śarīra,"(n. m) тело, туловище"
bhakṣ,"есть, пожирать, уничтожать"
nart,"танцевать, плясать"
divā,adv. днем
bahu,"многий, многочисленный, много, часто, очень"
bahis,"из, от, снаружи, наружу"
sānandam,adv. радостно
paribhramant,"блуждать вокруг, обойти вокруг"
citavant,"собравший, нашедший"
ayi,междометие (при обращении) о!
suhṛd,"(m) друг, союзник"
bhavadīya,"твой, ваш"
yat,союз “что”
mahāvidyālaya,"(m, n) высшая школа"
praviś,"поступать, осн. буд. вр. pravekṣya"
viṣaya,"(m) предмет, дисциплина"
adhyayanārtham,для изучения
hindī,(f) язык хинди
āṃgalabhāṣā,(f) английский язык
paṭh,"изучать, заниматься чем-либо"
avaśyam,"обязательно, конечно"
vaikalpika,любой
adhī,"учиться, изучать, читать"
