col_a,col_b
atas,поэтому
śvas,завтра
karaṇīya,"то, что должно быть сделано (завтра)"
buddhimān,"умный, мудрый"
haridvāra,(m)Харидвар (назв. города)
udgama,"(m) истоки, начало"
himācala,(m)Гималаи
vidhāya,"совершив, воздав"
pūjā,"(f )поклонение, почести"
svakīya,свой
prati,возвращаться в (А.)
likh,писать
nī,вести
budh,будить
tuṣ,радоваться
prach,рассказывать
yuj,соединять
kartar,"деятель, свершитель"
rakṣitar,защитник
kim,что?
kadā,когда?
katham,"как, каким образом?"
pracch,спрашивать
pati,"господин, хозяин"
saumya,"(при обращении) о, друг! о,дорогой!"
muni,"аскет,отшельник"
kalyāṇī,"счастливая, добрая, красавица"
mālā,"венок, шнур, четки"
vastra,"(n) платье, одежда"
gṛha,"слуга, дом, храм"
kṣipram,быстро
tāvat,"между тем, тем временем"
abhidhā,"сообщать, говорить, называть"
avadhā,"вкладывать, слушать внимательно"
abhibhāṣ,"поучать, наставлять"
tvam,ты
tava,твой
sa,он
