col_a,col_b
yudh,(f) битва
śvan,(m) собака
yuvan,(m)  юноша
vidvaṃs,"знавший, сведущий, ученый, мудрец"
pratyañc,"находящийся сзади, западный"
anvañc,следующий
udañc,"направленный вверх, северный"
nyañc,направленный вниз
prāñc,"направленный вперед, восточный"
viśvañc,распространяющийся во все стороны
saṃyañc,направленный внутрь
tiryañc,"поперечный, горизонтальный, (m, n) животное"
daśaratha,(m) nom. pr. Дашаратха (один из героев эпоса «Рамаяна»)
rāma,(m) nom. pr. Рама (герой эпоса «Рамаяна» и многих поэм)
samāgama,"(m) встреча, объединение с..."
parākrama,"(m) могущество, мощь"
śrama,"(m) усталость, старение"
śram,"уставать, прилагать (усилия)"
ātman,"(m) душа, собственное «я», как местоимение — сам,
себя, (филос.) атман, высший дух"
jagatkartar,"(m) творец мира, создатель вселенной"
золото,(m) величие; благородство
kauśala,"(n) счастье, здоровье, опытность, мастерство в..."
bhūṣaṇa,(n) украшение
heman,"(n) золото, золотое украшение, (m) побуждение, стимул, астр. Меркурий"
vidyā,"(f) знание, приобретение знаний, учеба, наука"
viśuddhi,"(f) чистота, святость"
śyāmikā,"(f) темнота, чернота, примесь"
sparh,"завидовать, ревниво относиться к..."
praśaṃs,"восхвалять, прославлять"
saṃlakṣ,"определять, устанавливать, отмечать, воспринимать"
trividha,"тройной, троякий"
naraka,"(m, n) подземный мир, ад"
dvāra,"(n) дверь, ворота"
nāśana,"(n) уничтожение, разрушение"
traya,"(n) тройка, триада"
mithilā,(f) назв. города
maithila,(m) житель Митхилы
sītā,(f) nom. pr. Сита
bhadra,"(n) благо, счастье, успех"
bhadraṃ te,благо тебе (приветствие)
mahiṣī,"(f) супруга, жена"
śubha,"прекрасный, счастливый"
