col_a,col_b
mīmāṃsate,"он мыслит, он думает"
pipāsu,"желающий пить, жаждущий"
bubhukṣu,"желающий есть, голодный"
pipāsā,"(f) желание пить, жажда"
bubhukṣā,"(f) желание есть, голод"
cikhādiṣati,желает есть
cicariṣati,желает ходить
cikampiṣate,желает дрожать
jigīṣati,желает победить
jijīviṣati,желает жить
titapsati,желает заниматься аскезой
ninaṃsati,желает уничтожить
ninīṣati,желает вести
bubhūṣati,жеалет быть
pipāsati,жаждет пить
bibhāṣiṣate,желать говорить
yuyutsati,"жаждaть сразиться, стремится к бою"
rirakṣiṣati,желать охранять
lipsate,желает достигать
vivadiṣati,желает узнавать или исследовать
śiśikṣiṣate,желает учиться
āsisiṣate,желает благословлять
mitsati,желает дружить
vivāsati,желает жить
vividiṣati,желает узнавать
jigāsati,желает завоевывать
jighāṃsati,желает убивать
ditsati,желает давать
jijaniṣate,желает рожать или создавать
dideviṣati,"желать блистать, сиять"
pitsate,желает пить
īpsati,желает достигать
śikṣati,желает учиться
titaniṣati,"желает натягивать, распространять, покрывать"
śuśrūṣate,желает служить
jijñāsati,желает знать
brāhmaṇa,"(m) брахман (член первой, главной касты (варны), знаток вед и жрец при жертвоприношениях)"
rāvaṇa,"(m) nom. pr. Равана (демон, царь Ланки (Цейлона), повелитель ракшасов)"
ādi,"(m) начало,  начиная с..., и т. д., и другие"
rāvaṇādi,начиная с Раваны; Равана и другие
videha,(m) назв. царства Джанаки; pl. назв. народа этого царства
rudra,"(m) nom. pr. Рудра (ведическое божество, олицетворяющее
разрушительную силу; отождествляется с богом Шивой)"
duryodhana,(m) nоm. рr. Дурйодхана ( герой эпоса «Махабхарата»)
bhīmasena,(m) nоm. рr. Бхимасена ( герой эпоса «Махабхарата»)
yudhiṣṭhira,(m) nоm. рr. Юдхиштира ( герой эпоса «Махабхарата»)
adhyāya,"(m) чтение, изучение (особ, священных текстов), время занятий, урок"
dhṛtarāṣṭra,"(m) nоm. рr. Дхритараштра (слепой царь из рода Куру, герой эпоса «Махабхарата»)"
pāṇḍava,(m) pl. Пандавы (пять сыновей Панду —  герои эпоса «Махабхарата»)
saṃjaya,(m)  nоm. рr. Санджая ( герой эпоса «Махабхарата»)
vaṃśa,"(m) род, семья, родословная"
tṛṇa,(n) трава
varṣaṇa,(n) дождь
prabhūtavarṣaṇa,"(n) проливной дождь, ливень"
dhanus,(n) лук
rudradhanus,"(n) лук Рудры, лук Шивы"
dharmakṣetra,"(n) ""поле дхармы"", назв. равнины между Дели и Амбалой отраженная в эпосе «Махабхарата»"
kurukṣetra,(n) поле Куру (назв. священного поля — места битвы между Кауравами и Пандавами)
saṃbhava,"(n) происхождение, рождение"
yaśas,"(n) слава, известность, почет, уважение"
stotra,"(n) хвалебная песня, гимн"
āśas,"(f) надежда, ожидание, желание"
sabhā,"(f) дворец, чертоги, зал собраний"
prabhūta,"многочисленный, обильный, богатый"
ugra,"строгий, жестокий"
aśakta,"не в состоянии, не могущий что-либо сделать"
bhagnāśa,"утративший надежду, (букв, ""с разбитой надеждой"")"
gadā-ghāta,вооруженный дубинкой
māmaka,мой
anusar,"двигаться за (А.), следовать чему-либо (А.), выполнять (приказ)"
hreṣ,ржать
namaya,сгибать
samave,"собираться, сходиться"
nivar,"удерживать, отражать (нападение), отгонять (противника), предотвращать"
