col_a,col_b
kṛtikā,(f ) здесь: приемная дочь
bahis,из (+ Abl.)
svāgata,(n) приветствие (по случаю прихода кого-либо)
vyāhar,"высказывать, выказывать"
kam,полюбить (Ā)
gāndharva,гандхарвский брак (брак без свадебного обряда)
vidhinā,"по правилу, как положено"
anantaram,"сейчас же, тотчас же"
kaṃcid,"никак, вообще нет"
kāla,"(m) время, срок"
krīḍ,"веселиться, развлекаться"
tau,они (двое)
ubha,оба
nivart,возвращаться (Ā)
paścād,позже
"nagara m,n",город
upayā,"отправляться, уходить"
yaj,"совершать жертвоприношение, жертвовать"
vidāṃ cakāra,он знал
āsāṃ babhūva,он сидел
darśayām āsa,"он показался, явился."
rājakumāra,"(m) царский сын, принц"
janaka,"(m) nom.pr. царь Митхилы, герой эпоса «Рамаяна» Джанака, родитель, творец"
dūta,"(m) вестник, посланец"
nṛpa,"(m) царь, защитник людей"
pārthiva,"(m) царь, властелин земли"
bhīma,(m) nom.pr. герой рассказа из «Махабхараты» Бхима
vivāha,"(m) сватовство, брак супружество"
dharmarāja,(m) справедливый царь
varada,"дающий дар, исполняющий желания."
prāpta,"достигнутый, настоящий, подлинный"
devakanyā,"(f) божественная девушка, девушка божественного происхождения"
damayantī,"(f) nom.pr. супруга Наля, Дамаянти"
tadā,"тогда, в то время, потом, затем"
tatra,"в этом деле, здесь, там, тогда"
tu,"а, но, же, однако"
saha,вместе
preṣaya,"высылать, полсылать."
darśaya,"являться, показываться, (букв. давать (себя) видеть)"
saṃman,"думать, считать, полагать"
varaya,"выбирать, брать в жены"
kāraya,"допускать, разрешать"
