col_a,col_b
tatpuruṣa,"его слуга, его человек"
tat-kuśala,(n) его здоровье
kula-strī,(f) женщина рода
rāja-kanyā,"(f) дочь царя, царская дочь"
dāna-pati,(m) владыка даров
satya-saṃdha,верный правде
nīla-utpala,(n) голубой лотос
parama-dhārmika,очень справедливый
mahā-bhāgya,(n) великая участь
puruśa-vyāghra,(m) человек-тигр
kanyā-ratna,(n) девушка-сокровище
dvigu,две коровы
tri-loka,(m) три мира
sapta-ṛṣi,(m) семь мудрецов
bahuvrīhi,имеющий много риса
mahā-ātman,"(m) великая душа, великий дух"
rakta-vāsas,(n) красная одежда
jita-indriya,(n) побежденное чувство
raktavāsas,(n) красная одежда
daśa-ratha,"букв. ""обладающий десятью колесницами"","
kāli-dāsa,"букв. ""раб или слуга (богини) Кали"""
sarvabhūtahita,(n) счастье всех существ
sarva-bhūta,"все существующее, все существа"
dvandva,"значение термина - ""два и два"" множество предметов"
jānapada,"(m) житель деревни, селянин"
anya-rūpá,(n) другой вид
agni-dūtá,(m) вестник (бога) Агни
rāma-ayaṇa,"(n) ""Странствия Рамы"""
artha-śāstra,"(n) ""Наука о (политической) выгоде"", назв. трактата о политике,"
dharma-śāstra,"(n) ""Наука дхармы"", назв. трактата, в котором излагаются нормы религиозной морали"
pañca-tantra,"""Панчатантра"" (букв. ""Пять руководств"")"
hita-upadeśa,"(m) ""Хитопадеша"" (букв. ""Доброе наставление"")"
abhijñāna-śakuntala,"(n) ""Узнанная (по кольцу) Шакунтала"","
mālavikā-agnimitra,"(n) ""Малавика и Агнимитра"","
vikrama-urvaśī,"(f ) ""Мужеством (добытая) Урваши"","
megha-dūta,"(m) ""Облако-вестник"","
raghu-vaṃśa,"(m) ""Родословная Рагху"","
ṛtu-saṃhāra,"(m) ""Времена года"","
daśa-kumāra-carita,"(n) ""Приключения десяти принцев""."
mārkaṇḍeya,"(m) nom. pr. Маркандея (мудрец, достигший бессмертия)"
yajvan,"(m) жертвователь, приносящий жертву"
paurajānapadapriya,(m) любимый жителями деревень и городов
saṃtāpa,"(m) жара, печаль, мука"
mahā-bhāgya,"(n) великая участь, счастливая судьба"
brahmaṇya,"(n) брахманский, благочестивый, набожный"
śaraṇya,"(n) предоставляющий убежище, покровительствующий,
защищающий"
dakṣa,"сильный, деятельный, разумный"
rata,"радующийся, находящий радость в чем-либо"
kṣamāvant,терпеливый; снисходительный
anapatya,бездетный
satyavant,"правдивый, (m) nom. pr. Сатьяван (супруг Савитри, см.)"
saṃyata-indriya,"с обузданными чувствами, владеющий собой"
atikrānta,"проходящий (о годах, о возрасте)"
upajagmivaṃs,достигший; дошедший до...
uttara,северный
devatāātman,"божественный, обладающий духом божеств"
himaālaya,(m) Гималаи (букв. “жилище зимы”)
nagaadhirāja,(m) властитель гор
pūrvaapara,"(простирающийся) вперед и назад, восточный и западный"
toyanidhi,"(m) хранилище воды, океан"
vagāhya,погружаться
mānadaṇḍa,"(m) мера, мерило"
kālidāsaviracita,сочиненный Калидасой
kālidāsa,(m) знаменитый поэт и драматург IV-V в.в.
kumārasaṃbhava,"(m) “Рождение Кумары”, поэма Калидасы."
