col_a,col_b
nipat,выпадать
saṃśru,обещать
āgam,приходить
chid,рассекать
svap,спать
dah,гореть
budh,будить
labh,получать
lih,лизать
prach,рассказывать
mil,встречать
doṣa,"недостаток, ошибка, промах"
viśvāmitra,"(m) nom.pr. легендарный мудрец, родившийся кшатрием, но ставший впоследствии брахманом Вишвамитра"
svayaṃvara,"собственный выбор, т.е. выбор супруга"
paura,горожанин
kālidāsa,(m) nom.pr. знаменитый поэт и драматург V в. Калидаса
pādābhivādana,"(n) земной поклон, (букв. приветствие к ногам)"
tridiva,"(n) миф. третье небо, рай"
āśā,"надежда, ожидание, желание"
mithilāpurī,(f) город Митхила
iṣ,"желать, стремиться к чему либо"
arh,"мочь, иметь возможность"
śak,"мочь, быть сильным в чем"
tvar,"спешить, торопиться"
prayatnena,"с трудом, еле"
śakyam,возможно
haima,золотой
racita,"красивый, украшенный, созданный"
idam,это
bhartar,(m) муж
anveṣaṇa,(n) поиски
samāsad,"здесь: пугаться, бледнеть"
upagam,приближаться
utsan̄ga,(m) колени
śiras,(n) голова (A.sg)
niṣad,"садиться, опускаться"
mahītala,"(n) земля, почва"
śru,"слышать, слушать"
labh,"получать, брать, добиваться чего либо"
āsthā,"внимание, интерес"
samutpat,"подниматься, возноситься"
abhigam,"подходить, приближаться"
ākram,"преодолевать, подходить, приближаться"
upagam,"собираться, доходить, попадать"
