col_a,col_b
durjana,(m) плохой человек
durmitra,(m) плохой друг
durbrāhmaṇa,(m) плохой брахман
durjīva,(n) плохая жизнь
durbuddhi,"(f) слабоумие, безумие"
durmanas,"(n) ложная мысль, заблуждение"
durjala,(n) плохая вода
durdina,(n) плохой (пасмурный) день
sudīrgha,очень длинный
supriya,"очень милый, очень приятный"
durukta,"плохо (неверно, грубо) сказанный"
duravagraha,с трудом удерживаемый
durāpa,труднодостижимый
sulocana,"обладающий красивыми глазами, ""прекрасноокий"""
suvṛtta,"хорошего поведения, благовоспитанный"
suratha,имеющий красивую колесницу
suvāsas,"красиво одетый, нарядный"
supraja,имеющий хороших (многих) детей
durātman,"негодный, подлый"
durakṣa,имеющий слабое зрение
durvāsas,плохо одетый или голый
duścarman,"имеющий плохую (больную) кожу, прокаженный"
durhṛd,имеющий злое сердце
kupuruṣa,(m) плохой (бедный) человек
kuputra,(m) плохой (или неродной) сын
kustrī,(f ) плохая жена
kuśīla,(n) плохой нрав
kumati,"(f) плохой образ мыслей, ограниченность"
kṛṣīvala,"(m) земледелец, пахарь"
parjanya,(m) дождь
purohita,"поставленный во главе, (m) домашний жрец, пурохита"
baṭu,(m) мальчик
asta,(m) заход (солнца)
ravi,(m) солнце
bhāga,"доля, часть"
putraka,(m) сынишка
tāta,(m) отец
vahni,(m) везущий
ārdrā,(f) шестой лунный дом
ājñā,"(f) приказ, распоряжение"
timira,"(n) темнота, мрак"
nabhas,"(n) туча, пар, название месяца"
payas,"(n) жидкость, молоко, сила"
riktha,"(n) наследство, имущество"
kusumapura,(n) Кусумапур (назв. города)
dhana,"(n) деньги, богатство, благосостояние"
koṭara,(n) дупло
kaniṣṭha,"самый маленький, самый молодой, (m) младший брат"
nikṣipta,"оставленный, брошенный"
puṣpita,цветущий
sugandhi,"ароматный, благоухающий"
rucikara,"вызывающий удовольствие, возбуждающий желание"
āvṛta,покрытый
asmāka,наш
āsannamaraṇa,"умирающий (букв, ""имеющий близкую смерть"")"
samāna,"одинаковый, тот же самый, равный, общий."
