col_a,col_b
vārāṇasī f,"nom.pr., город и место паломничества Варанаси"
kṣetra n,(n) место
khalu,"ведь, именно"
bhāratavarṣa,(m) Индия (букв. страна Бхаратов)
tatra tatra,"здесь и там, повсюду"
bahu,многий
tīrthakṣetra,"(n) тиртха, священное место для омовения"
tatrāpi,здесь же
purāṇa,"старый, древний"
atiśayena adv.,"особенно, очень"
varṇ,"живописать, рисовать"
anuttama,"превосходнейший, самый известный"
puṇyakṣetra,(n) священное место
kāśī,(f) название города и места паломничества
parisara,"(m) близость, окружение"
puṇyasalila,чистоструйный
bhāgīrathī,"(f) эпитет реки Ганги (по имени царя, благодаря подвижничеству которого Ганга спустилась с небес)"
pravah,"спешить, струить, катить"
nibandh,"строить, сооружать"
sundara,прекрасный
suviśāla,"обширный, широкий"
tīrthaśilā,"(f) каменные ступени, ведущие к воде"
ākar,"усыпать, покрывать"
upalabh,находить
gan̄gAsnAnArtham,для омовения в Ганге
nadī,(f) река
snā,"купаться, совершать обряд омовения"
viśvanātha,(m) эпитет Шивы (букв. Владыка мира )
arc,"почитать, приветствовать"
bahubhūmika,многоэтажный
ucchri,"возводить, сооружать"
atyucchrita,очень высокий (о зданиях)
mandira,"(n) дворец, храм"
saṃśubh,"выглядеть красивым, быть украшенным"
viśeṣatas,adv. особенно
pratiṣṭhā,"стоять, возвышаться"
gRhapan̄kti,(f) ряд построек
śobhā,(f) красота
bhar,"обладать, иметь"
nagara,"(m, n) город"
purā,"adv. в старые времена, когда-то"
hāṭakamaya,золотой
bhū,быть
idānīm,"adv. в настоящее время, теперь"
kevalam,"adv. лишь, только"
śilāmaya,каменный
kāśīnagara,"(m, n) город Каши"
suṣamā,"(f) красота, великолепие"
nirīkṣ,"видеть, рассматривать"
