col_a,col_b
saṃgam,"сходиться, сливаться"
nivart,возвращаться
viyuj,развязывать
nirīkṣ,"смотреть, рассматривать"
abhiśru,"слушать, воспринимать"
saṃcint,"думать, размышлять"
upadiś,указывать
pratigrah,хватать
upavas,поститься
adhī,"учиться, изучать"
uddeśa,"(m) местность, край"
uccheda,"(m) уничтожение, истребление"
sattva,"(m) существование, реальность, благородство, добро, высочайшая гуна"
śaśaka,"(m) зайчик, зайка"
vāra,"(m) очередь, толпа, сборище"
bhakṣ,"есть, пожирать, уничтожать"
mil,"встречаться, собираться, сходиться"
vijñāpita,"спрошенный, к которому обратились со словами"
dhūrta,"хитрый, ловкач"
mṛta,"мертвый, ненужный"
aśakya,"невозможный, неисполнимый"
buddhimant,"умный, мудрый"
pratyaham,"каждый день, ежедневно"
ekaikam,"adv. по одному, один за другим, по очереди"
-prabhṛti,adv. начиная с...
kadācid,"иногда, однажды"
ati,"сверх, мимо"
adhi,"к, сверху"
anu,"вслед, вдоль"
antar,"внутри, между"
apa,"от, прочь"
pi,сверху
abhi,"к, против"
ava,"вниз, прочь"
ā,"к, сюда"
ut/ud,вверх
upa,к
ni,"вниз, назад, обратно"
nis,"прочь, от"
parā,"вдаль, прочь"
pari,вокруг
pra,вперед
prati,"назад, против"
vi,в разные стороны
sam,"с, вместе"
