col_a,col_b
dharmarāja,(m) царь Закона
puṇyāha,(n) счастливый день
svargapatha,(m) небесный путь
ahorātram,день и ночь
kṛṣṇasakha,(m) друг Кришны
paramagava,(m) прекрасный бык
rathastha,стоящий на колеснице
satyasaṃdha,верный правде
vakyajña,"знающий слово, владеющий словом"
khārī,(f) мера веса зерна
yuddhiṣṭhira,"стойкий в битве, nom. pr. имя героя Махабхараты ""Юдхиштира"""
adyaprabhṛti,"начиная с сегодняшнего дня, отныне"
an̄guṣṭhamātra,величиною с (большой) палец
kamalāpekṣayā,по сравнению с лотосом
dine dine,каждый день
ṣaṣṭhe ṣaṣṭhe kāle,каждый шестой срок
taṃ taṃ deśam,(она посетила) каждую страну
sakṛt sakṛt,только один раз
mandaṃ mandam,очень медленно
uparyupari,высоко-высоко; еще и еще
apatyotpādana,(n) рождение потомства
parimitāhāra,"(m) имеющий очень умеренную пищу, ограниченный в еде"
brahmacārin,"благочестиво живущий, исполняющий обет воздержания"
jitendriya,"(n) с побежденными чувствами, обуздавший чувства, аскетический"
rājasattama,(m) лучший из царей
mitabhojana,(n) умеренный в пище
agnihotra,"(n) жертвоприношение на огне, жертвенный огонь"
tuṣṭi,"(f) удовлетворение, довольство"
harṣa,(m) радость
tīvra,"строгий, суровый, тяжелый"
āsthita,"пребывающий, находящийся в.."
rūpin,"воплощенный, видимый, в видимом облике, красивый"
anvita,"преисполненный, одаренный, снабженный чем-либо"
varada,дающий благословления
hu,"приносить жертву, жертвовать"
darśaya,"являться, показываться ( букв. ""давать (себя) видеть"")"
samutthā,"подниматься от, из"
abhigā,"достигать чего-либо,  доходить до..."
rūpa,"(n) красота, украшение"
adhika,"высший, величайший"
pracchannagupta,"надежно защищенный, тайно укрытый"
bhogakarin,"приносящий пользу, доставляющий удовольствие"
yaśaḥsukhakarin,приносящий славу и счастье
bandhujana,"(m) близкий человек, друг, родственник"
videśagamana,"(n) путешествие на чужбину, далекое странствие"
vidyāvihīna,лишенный знания
