col_a,col_b
śṛgālas siṃhas ca,шакал и лев
śṛgālas avasat,шакал обитал
bahis atiṣṭhat,он стоял снаружи
vanāni agacchat,он шел в леса
siṃhas agarjat,лев рычал
sutas cintayati,сын думает
sas acintayat,он думал
kena upāyena,какой хитростью?
uccais ākrośat,он громко закричал
adhāvat ca,и он бежал
para,"другой, дальнейший"
nīca,низкий
kṣipra,быстрый
dīrgha,"длинный, долгий"
nava,новый
rāvaṇa,(n) nom. pr. Равана (царь о. Ланка)
ji,побеждать
sītā,(f) nom. pr. Сита (супруга Рамы)
godāvaryās,(f) G. sg. от godāvarī (назв. реки)
tīra,(n) берег
saha,"(+I.) с, вместе с"
ram,отдыхать
pāṇḍava,"(m) сторонник, потомок рода Панду"
dhārtarāṣṭra,(m) сын Дхритараштры
yuddha,"(n) сражение, битва"
araṇya,(n) лес
mahiṣa,(m) буйвол
darś,"видеть, смотреть"
pā,пить
gires,(m) гора
śikhara,"(m, n) вершина (горы)"
aja,(m) козел
dah,"сжигать, гореть"
upadiś,"(А.)наставлять кого либо, в чем либо"
gāh,"(Ā.) нырять, погружаться"
rac,"(P.) плести, сплетать"
vardh,(U.) расти
vivardh,(Ā.) вырастать
sthā,"(U.) стоять, находиться"
saṃgam,"(Ā.) встречаться, стекаться"
bhram,(P.) бродить
śram,"(P.) уставать, умерщвлять плоть"
mitra,"(m) друг, nom. pr. Митра (ведийский бог)"
siṃha,(m) лев
divasa,"(m) небо, день"
mṛga,"(m) животное, газель, антилопа"
rāma,(m) nom. pr. Рама
śiṣya,(m) ученик
prayāga,"(m) Праяга (назв. города, совр. Аллахабад)"
grāma,(m) деревня
aśva,(m) конь
gan̄gā,(f) nom. pr. имя богини Ганга
kanyā,"(f) девочка, девушка, дочь"
mālā,"(f) венок, гирлянда"
ātmajā,(f) родная дочь
guhā,"(f) нора, пещера"
niśā,(f) ночь
bhikṣā,"(f) милостыня, подаяние"
yamunā,(f) имя реки Ямуна
rathyā,(f) улица
vidyā,"(f) знание, приобретение знаний, учеба, наука"
devatā,(f) божество
rāvaṇa,nom.pr. - Равана (царь о-ва Ланка)
sītā,nom. pr. - Сита (супруга Рамы)
godāvaryās,(f) G. sg. название реки Годаваря
saha,"с, вместе с (+I.)"
giri,(m) гора
śikhara,"(m,n) вершина (горы)"
upadiś,наставлять кого-либо (A.) в чем-либо (A.)
