col_a,col_b
lekháya,понуждать писать
darśáya,"показывать (букв. ""давать видеть"")"
vācáya,понуждать говорить
śrāváya,"заставлять слушать, давать слушать"
dāpáya,понуждать давать
sthāpáya,ставить
jñāpáya,учить
gāpáya,заставлять петь
pāyáya,"давать пить, поить"
hvāyáya,понуждать звать
ghātáya,заставлять убить
ropáya,сажать
rambháya,побуждать начать
lambháya,"доставлять, наделять"
udyāne vṛkṣo rohati,в саду растет дерево
udyāne vṛkṣaṃ ropayati,"он сажает в саду дерево (букв. ""понуждает расти"")"
putro grāmaṃ gacchati,мальчик идет в деревню
pitā putraṃ grāmaṃ gamayati.,отец велит мальчику идти в деревню
dāsī annaṃ pacati,служанка готовит пищу
mātā dāsyā annaṃ pācayati.,"мать велит служанке (букв. ""побуждает"") готовить пищу"
pathiko jalaṃ pibati,путник пьет воду
aham pathikaṃ jalaṃ pāyayāmi,я пою путника водой
śiṣyāḥ pustakaṃ adhīyante,ученики изучают книгу
guruḥ śiṣyān pustakaṃ adhyāpayati,учитель заставляет учеников изучать книгу
pāpam akaroḥ,ты совершил грех (зло)
kas tvāṃ pāpam akārayat,Кто побудил тебя совершить зло?
namasyá,"совершать поклон, почитать"
sakhīyá,"искать дружбы, дружить"
putrīyá,желать сына
kṛṣṇāyá,"чернить, пачкать"
śabdāyate,он шумит
kalahāyate,он ссорится
bāṣpāyate,он плачет
śatrūyate,"он ищет вражды, враждует"
devāyate,он чтит богов
aśvāyati,он желает коня
sukhāyate,он счастлив
duḥkhāyate,он несчастлив
grīṣmakāla,летняя пора
gharma,"(m) жар, жара"
sveda,"(m) пот, pl. капли пота"
ari,"враждебный, (m) враг, неприятель"
saṃsāra,(m) течение мирской жизни
adhvan,"(m) путь, дорога, путешествие, пространство"
an̄gāra,"(m,n) древесный уголь"
tṛṣṇā,(f) жажда
senā,(f) войско
vipad,"(f) горе, несчастье, беда"
prīti,"(f) радость, любовь, расположение, дружба"
an̄ga,"(n) тело, часть (тела)"
yuddha,"(n) битва, сражение, борьба"
madhya,"средний, (n) середина"
acyuta,"непоколебимый, вечный (эпитет Вишну и Кришны)"
rūpin,"воплощенный, видимый, в видимом облике, красивый"
uṣṇa,"жаркий, яркий, (n) жар, зной, жаркий сезон, лето"
śīta,"холодный, остывший, (n) холод"
prāpta,"достигнутый, настоящий, подлинный"
pra-vartaya,"запускать, начинать, приводить в движение"
pari-vardhaya,"развивать, усиливать"
kāraya,"заставь делать, поручить выполнение"
ācar,"относиться к кому-либо, обращаться с кем-либо, совершать, выполнять, причинять"
saṃvah,"(совместно, вместе) нести, везти"
ānī,"приносить, доставлять"
praviś,"вступать, входить"
