col_a,col_b
viś,(m) место жительства
samrāj,"(m) господин, повелитель"
madhu-lih,(m) пчела
diś,(f ) сторона света
dṛś,видящий
spṛś,касающийся
kakubh,"(f) страна, край"
sumanas,"(m) бог, мудрец"
uṣas,(f) заря
dvār,(f) дверь
gir,(f) голос
pur,(f) город
kāma,(m) желание
upā-nah,(f) сандалия
tapas,(n) покаяние
vipad,"(f) горе, несчастье"
dhairya,(n) стойкость
abhyudaya,"(m) счастье, богатство, процветание"
atha,"и, а"
kṣamā,(f) умеренность
sadas,"(n) собрание, совет"
vākpaṭutā,(f) красноречие
yudh,"(f) сражение, борьба"
vikrama,"(m) доблесть, героизм"
yaśas,"(n) слава, известность"
abhirati,(f) радость
vyasana,"(n) усердие, рвение"
śruti,"(f) учение, слушание"
prakṛtisiddha,(n) сущность природы
idam,это
bhartṛhari,(m) nom. pr. Бхартрихари
śṛṅgāraśataka,«Сто строф о любви».
śatakatrayam,«Три сборника по сто строф» поэтическое произведение
bhartṛharikṛta,"созданный, сочиненный Бхартрихари"
nītiśataka,(n) “Сто строф о нравственности”
vairāgyśataka,(n) “Сто строф об отрешенности от мирских желаний”
grah,"брать, схватывать"
śloka,"(m) стих, изречение, строфа"
