col_a,col_b
mahāpratāpin,многоуважаемый
tasya catvāraḥ putrāḥ samabhavan,у него было четыре сына
ekadā,adv.однажды
yajña,(m) жертвоприношение
yajña-rakṣā,"(f ) защита, охрана жертвоприношения (от злых ракшасов)"
nī,"брать, уводить"
yajñoparāntam,adv. после жертвоприношения
saha,с (+ I.)
svayaṃvara,(m) самостоятельный выбор супруга (одна из форм брака)
mithilāpurī,(f ) город Митхила
āgamana,(n) прибытие; приход
vinaya,(m) почтительность; вежливость
sahasā,"adv. сейчас же, тотчас же"
pratyudgam,"идти навстречу, встречать"
pūjārgha,(m) почетный дар
pratigrah,"принимать, брать"
kuśala,(n) здоровье
nirvighnatā,"(f ) беспрепятственность, успех"
prach,"рассказывать, сообщать, спрашивать"
samāpti,"(f ) завершение, окончание"
dhanya,"богатый, счастливый"
anugrahīta,"обласканный, привеченный, осчастливленный"
bhavadāgamana,"(n) прибытие, приход господина"
karman,"(n) дело, обряд, ритуал"
rabh,начинать(ся) Ā.
munipuṃgava,(m) первый (лучший) из мудрецов
kṛṣant,пашущий
lāṅgala,(n) плуг
kṣetra,"(n) поле, пашня, земля, почва"
śodhayant,"очищающийся, чистый"
atas,поэтому
viśrutā,известная (здесь: известна)
sītā,"(f) борозда, nom. pr. Сита"
idānīm,"теперь, сейчас"
yogyā,"готовая, подходящая, пригодная"
saṃjan,"рождаться, становиться"
atrāgam,"приходить сюда, собираться"
varaya,брать в жены
vīrya-śulkā,"букв. имеющая выкупом мощь (т. е. только тому будет отдана в жены Сита, у кого хватит силы натянуть тетиву на лук Шивы)"
vīrya,"(m)сила, мощь"
śulka,"(m, n) выкуп (за девушку)"
jijñāsu,"желающий узнать, желающий испытать"
upagam,"собираться, подходить"
purastāt,в присутствии кого либо
śaiva,"принадлежащий богу Шиве, относящийся к богу Шиве"
dhanus,(n) лук (оружие)
upāhar,доставлять
grahaṇa,(n) взятие
tolana,(n) поднятие
api vā,или даже
śak,"мочь, быть сильным в чем либо"
tat etat,это(т) очень
paramabhāsvara,"сильно сверкающий, сияющий"
darśaya,показывать
āropaṇa,"(n) поднятие, поднимание"
