col_a,col_b
éka,1
dva (dvi),2
tri,3
catúr,4
páñcan,5
ṣaṣ,6
saptán,7
aṣṭán,8
návan,9
dáśan,10
viṃśati,20
triṃśát,30
catvāriṃśat,40
pañcāśát,50
ṣaṣṭí,60
saptatí,70
aśītí,80
navatí,90
śatá,100
sahásra,1000
prathamá,1-й
dvitī́ya,2-й
tṛtī́ya,3-й
caturthá,4-й
pañcamá,5-й
ṣaṣṭhá,6-й
saptamá,7-й
aṣṭamá,8-й
navamá,9-й
daśamá,10-й
viṃśá,20-й
triṃśá,30-й
catvāriṃśá,40-й
pañcāśá,50-й
ṣaṣṭá,60-й
saptatá,70-й
aśītá,80-й
navatá,90-й
śatatamá,100-й
sahasratamá,1000-й
dvādaśá,12-й
aṣṭādaśá,18-й
ekaśatá,101-й
ékādaśan,11
dvā́daśan,12
tráyodaśan,13
cáturdaśan,14
páñcadaśan,15
ṣódaśan,16
saptádaśan,17
aṣṭā́daśan,18
návadaśan,19
saptáṣaṣṭi,67
aṣṭāśatám,800
trisahasram,3000
dvā́daśa,12
aṣṭā́daśa,18
dvyáśīti,82
dvau viṃśatiśca,22
mahātejas,(n) доблестный
varṣa,(n) год
janman,(n) жизнь
śiśira,"(m) ранняя весна, прохладный сезон"
vatsara,(m) год
ṛtu,"(m) сезон, время (года)"
catvāriṃśattamá,сороковой
viṃśatitamá,двадцатый
triṃśattamá,тридцатый
