col_a,col_b
adharma,"(m) беззаконие, несправедливость"
anartha,(m) вред
aguṇa,(m) отсутствие добродетели
aśakti,"(f) отсутствие силы, слабость"
adasa,"(m) не раб, свободный человек"
amitra,"(m) недруг, враг"
avarṣa,"(m) отсутствие дождя, засуха"
analpa,"немаленький, большой"
anṛta,"неверный, ложный"
apara,"недалекий, близкий"
akṛta,несделанный
akarṇa,"безухий, глухой"
acakṣus,"безглазый, слепой"
aputra,не имеющий сына
anudaka,"лишенный воды, безводный"
apuṣpa,"лишенный цветов, не цветущий"
aphala,"лишенный плодов, не плодоносящий"
sakampa,дрожащий
savraṇa,раненый
saratha,"имеющий колесницу, с колесницей"
saputra,вместе с сыном
sarāma,вместе с Рамой
savarṇa,"одного цвета, одной касты, равный, подобный"
sodaka,"с водой, полный воды"
sāvadhi,"ограниченный, имеющий предел"
saśabda,"звучащий, словесный"
saguṇa,"c верёвкой (струной, тетивой), наделённый хорошими качествами"
sagraha,полный крокодилов (о реке)
sajala,"водянистый, мокрый, влажный"
sanidra,спящий
sapakṣa,крылатый (о стреле)
sapuṣpa,"покрытый цветами, цветущий (о дереве)"
saphala,"лодоносный, успешный, достигший цели, добившийся желаемого результата"
samūla,"имеющий корни, имеющий причину, основание, основательно, в корне"
sarajasa,"пыльный, покрытый пыльцой"
saruja,"болезненный, больной, испытывающий боль"
savayas,"равносильный, одного возраста, (m) друг, товарищ, ровесник, (f) подруга"
saśoka,печальный
sasveda,покрытый потом
sāgra,заострённый
sahāsa,"сопровождаемый смехом, смеющийся, со смехом"
paṇḍita,"(n) учёный, умный, сведущий в чём-л., (m) пандит (учёный брахман)"
parivāra,"(n) укрытие, прикрытие, убежище, приют, свита, охрана, чехол, футляр, ножны"
udbhava,"(n) рождёние, появление, происхождение"
vatsa,"(n) телёнок, ребёнок, детёныш, Voc. милый! сын мой!"
manoratha,"(n)  желание, мечта"
pakṣigaṇa,(n) стая птиц
vaṭavṛkṣa,(n) древо баньяна
maṇḍapa,"(n) временное сооружение для праздника, беседка, навес"
āmra-phala,(n) плод манго
pāpa,"(n) зло, вред, несчастье, вина, проступок"
śrīnagara,(n) nom. pr. имя горорда Шринагар
śaraṇa,"защищающий, (n) зонт, ширма, защита, приют, убежище"
anātha,"беспомощный, беззащитный, (n) беспомощность, беззащитность"
viṣṇupada,(n) “шаг Вишну”
pan̄kaja,"(n) рожденный из грязи, симв. обозначение лотоса"
vārtā,"(f) слух, молва"
avahita,"внимательный, прилежный"
gantukāma,имеющий желание пойти
viṣayaka,имеющий отнощение к...
nirdiṣṭa,"указанный, определённый"
gahana,"глубокий, густой, плотный, (n) глубина, бездна, чаща, темнота"
samākula,"выполненный, исполненный кем-л., полный чего-л., переполненный чем-л., смущённый, озадаченный"
samāhṛta,"собранный, привезенный"
ruc,"блестеть, нравиться"
svād (svad),"вкушать, наслаждаться"
ārabh,"начинать, приниматься за, предпринимать, схватывать, овладевать"
āśvas,"свободно, легко вздыхать, отдыхать, доверять кому-л., что-л."
muh,"падать в обморок, ошибаться, быть дураком"
dhvas,"распадаться, погибать, умирать (dhvaṃs)"
sic,"лить, поливать, распространяться по (Loc. ), вливать в (Loc. ), кропить, увлажнять"
ud-dhar,"вынимать, поднимать, способствовать,  содействовать"
īdṛśa,"таковой, такого вида, рода"
kutas,откуда? куда? где? почему? как? когда?
nānā,"различно, многообразно"
pañcasaptati,семьдесят пять
rāghava,"(m) ""потомок Рагху"". Рагху - царь Айодхьи, прадед Рамы, основатель рода Рагху"
