col_a,col_b
catura,"ловкий, сообразительный"
śṛgāla,(m) шакал
ekadā,adv. однажды
guhā,"(f) нора, пещера"
bahis,"(+ Abl.) от, из; снаружи"
ciram,adv. долго
tasyām,она
praviś,"входить,располагаться где либо"
pratyāgam,"приходить назад, возвращаться"
pāda,(m) нога
cihna,(n)след
darś,видеть.
cint,думать
as,быть
vā,или
yadi,если
anyatra,adv. в другое место
gam,идти
ka,какой
upāya,"(m) способ, уловка, хитрость"
satya,"(n) истина, правда"
avagam,"доходить, узнавать"
iti,так (указание на конец прямой речи)
sthā,стоять
uccais,adv. громко
ākruś,кричать
nityam,"adv. всегда, постоянно"
mām,(A.sg.) от aham
āhvā,"звать, призывать"
adya,adv. сегодня
kim,что?
tūṣṇīm,adv. молча
katham,почему?
anyathā,"иначе, в противном случае"
punar,"снова, опять"
tam,(A.sg.) от sa
ākarṇ,слышать
garj,рычать
garjana,(n) рычание
tasmād,(Abl. sg. от tad) это
sthāna,(n) место
dhāv,бежать
evam,"так, таким образом"
jīvana,(n) жизнь
rakṣ,"спасать, защищать"
