col_a,col_b
kathā,(f) рассказ
kāla,(m) время
jagāma,он пришел
tadā,тогда
yathā,как
hā,ай!
tathā,так
dāna,"(n) щедрость, даяние"
nārada,"(m) nom. pr. имя мудреца ""Нарада"""
mahā,"большой, великий"
sabhā,(f) зал собраний
mahābhārata,"(n) ""Махабхарата"",  древнеиндий эпос"
rāmāyaṇa,"(n) ""Рамаяна"", древнеиндий эпос"
hi,"ибо, так как"
kavi,(m) поэт
gati,(f) путь
yadi,если
dina,(n) день
niyama,(m) обет
pādābhivādana,(n) земной поклон
mahī,(f) земля
pari,вокруг
sakhi,(m) друг
samīpa,(n) близость
śiva,(m) Шива (nom. pr. бога)
pitāmaha,(m) дед
tu,но
su,хорошо
bhū,быть
kula,"(n) род, семья"
pura,(n) город
bhūmi,(f) земля
sukha,(n) счастье
kar,делать
kuru,сделай
suta,(m) сын
sutā,(f) дочь
sūnu,(m) сын
puruṣa,(m) человек; мужчина
duḥkha,(n) несчастье
ati,"через, мимо"
iti,так
ubha,оба
atha,итак
uvāca,он сказал
api,тоже
iva,как
abhāva,"(m) гибель, небытие"
āhāra,(m) еда
udaka,(n) вода
uṣas,"(f) рассвет, утренняя заря, утро; nom. pr. богини"
as,быть
āsīt,он был
aham,я
mām,A. sg. от aham
gam,идти
duhitar,(f) дочь
nāman,(n) имя
punar,снова
pitar,(m) отец
mātar,(f) мать
rājan,"(m) царь, князь"
vid,"знать, ведать"
vayas,(n) возраст
śiras,(n) голова
ṣaṣ,шесть
savitar,(m) солнце
-gāminī,идущая
