col_a,col_b
putra,"(m) мальчик, сын"
tad,это
dīrgha,длинный
dvitīya,второй
makṣikā,(f) муха
pārthiva,"(m) царь, властелин земли"
vraṇa,(m) рана
kalaha,"(m,n) ссора,спор"
śānti,"покой, тишина"
nīca,"низкий, глубокий"
sādhú,"хороший, благой"
iṣ,желать
ca,и
na,"не, нет"
pitar,(m) отец
mātar,(f) мать
pitarau,(du) родители
duhitar,(f) дочь
sūnu,(m) сын
jñā,знать
sru,течь
bhū,быть
námas,"поклон, почтение"
naṭ,"танцевать, играть на сцене"
naṭana,(n) танец
gaṇ,считать
gaṇaka,(m)математик
gaṇana,(n) счет
kath,I. беседовать с кем либо
kathaka,(m) рассказчик
kathana,(n) рассказывание
mahāphala,"(n) великий плод, большая награда"
mahāpatha,(m) главная или королевская дорога
mahāratha,"(m) большая колесница; перенoc. великий воин,  богатырь"
mahāvana,(n) великий лес
mahāgajа,"(m) великий слон, один из великих слонов поддерживающих землю"
suputra,(m) выдающийся сын; a. имеющий выдающихся сыновей
suratha,"хороший колесничий, имеющий хорошую колесницу"
sukathā,хороший рассказчик
sumahant,очень большой
sukṛta,хорошо сделанный
gam,"идти, ходить"
vac,(f) речь
as,"быть, про­исходить"
kar,делать
śru,"слышать,слушать"
veda,(m) знание
eka,"один, единственный"
daśa,десять
śata,"одинаковый, ровный"
sahasra,(n) тысяча
dharma,"(m) правило, закон, обязанность, долг"
karman,"(п) дело, работа"
tuṣ,быть довольным
aśvapati,(m) nom.pr. Ащвапати
upākhyāna,(n) небольшой рассказ
śāstra,учение
ās,cидеть
agnir iva,как огонь
agnī rocate,огонь сверкает
