col_a,col_b
tyaj,"(P.) сторониться, оставлять"
saṃsarga,"(m) общение, соприкосновение"
durjanasaṃsarga,(m) общение с плохим человеком
bhaj,(U.) почитать; уважать
samāgama,(m) связь; встреча
sādhusamāgama,(m) встреча с благим человеком
puṇya,"(n) доброе дело, добро"
ahorātram,adv. день и ночь; всегда
smar,помнить; думать о (A.)
nityam,"adv. постоянно, всегда"
anityatā,"(f) непостоянство, бренность, изменчивость"
daridra,"бедный, неимущий"
bhar,"держать, поддерживать"
kaunteya,"(m) сын Кунти (назв. трех сыновей Панду, героев эпоса ""Махабхарата"")"
mā,не (отрицание при императиве)
prayam,"подавать, приносить (дар)(P.)"
īśvara,(m) бог
vyādhita,больной; усталый
auṣadha,(n) лекарство
pathya,"полезный, благотворный"
nīruja,здоровый
kim,что? зачем? (+ I.)
śiṣya,(m) ученик
dūta,(m) посланец
pitar,(m) отец
prayāga,"(m) Праяга, (назв. города, совр. Аллахабад)"
dharma,"(m) обязанность, порядок, закон"
atithi,"(m)гость, странник"
ājñā,"(f) приказ, распоряжение"
ayodhyā,(f) название города
sakhī,(f) подруга
śrī,"(f) сияние, красота, достоинство"
vasati,"(f) жилище, обитель"
sāvitrī,"(f) богиня nom.pr. Савитри, дочь Савитара"
mātar,(f) мать
kārya,"(n) дело, намерение, обязанность"
padma,(n) цветок лотоса
vacas,"(n)слово, голос (в тексте A.sg.)"
prātar,"рано утром, на заре"
punar,"снова, опять"
tatra,"там, туда, тогда, потом"
ārabh,приниматься за что
man,"думать, считать (Ā.)"
utthā,"вставать, восходить (U.)"
ānī,"доставлять, приносить, приводить (U.)"
anuṣṭhā,"следовать , исполнять, совершать"
nivas,"располагаться, поселяться (U.)"
nivart,"возвращаться, идти обратно (Ā.)"
anuśās,"поучать, наставлять (P)"
