col_a,col_b
pañca,пять
an̄guli,(f) палец
kārya,"(n) работа, дело"
randhra,"(n,m) отверстие, ноздря"
devarṣi,(m) божественный риши
devatā,(f) божество
vidyā,"(f) знание, мудрость"
pātratā,"(f) знание, приобретение знаний, учеба, наука"
pradāna,"(n) способность, достоинство"
bhadra,"(n) благо, счастье"
pātratva,"(n) способность, достоинство"
vācya,"(n) достойный порицания, упрек, порицание"
anya,"(n) другой, некоторый, общий, обычный"
śobhana,"красивый, притягательный"
avighna,"беспрепятственный, n  беспрепятственность, успех"
sarva,"весь, целый, всякий, каждый"
vistareṇa,"adv. подробно, пространно"
āp,"достигать (цели), получать, добывать"
abhyas,"изучать, заниматься"
kāvya,(n) поэма; стихотворение
rasa,"(m) поэтическое переживание, религиозное чувство"
paṇḍita,(m) пандит (ученый брахман)
taru,(m) дерево
sarj,давать; приносить; создавать
puṣpa,(n) цветок
marut,(m) ветер
saurabha,(n) аромат
sukhin,"радостный, счастливый здесь"
nirāmaya,"здоровый, благоденствующий"
na kaścid,никто
