col_a,col_b
har,брать
stambh,поддерживать
ad,питаться
cal,"двигаться, перемещаться"
ah,говорить
nī,"вести, брать, уводить"
kamp,дрожать
gad,"говорить, рассказывать кому-л., что-л."
dvijāti,"(m) дваждырожденный, человек из одной из трех высших каст"
duṣyanta,(m) nom.pr. имя царя Душьянта
nṛpa,"(m) царь, букв. защитник людей"
svapura,(m) свой город
saṃtāna,(m) продолжение рода
śīla,"(n) поведение, нрав, характер, нравственность, добродетель"
rūpa,"(n) вид, внешность, внешний вид, красота, украшение"
mithilā,(f) nom. pr. название города Митхила
sītā,(f) nom. pr. Сита
abhijñā,"знать, узнавать"
mitabhojana,"имеющий умеренную пищу, умеренный в пище"
anupama,"несравнимый, несравненный"
kila,"ведь, как известно"
ekadā,однажды
nāma,по имени
i,идти
sainika,(m) воин
amātya,"(m) придворный, министр"
anugam,"следовать за, сопровождать"
kānana,(n) лес
bahu,многочисленный
mṛga,"(m) животное, газель, антилопа"
han,убивать
mārga,(m) дорога
divyāśramapada,"(n) прекрасная обитель, дивное, уединенное место"
pūrva,"первый, предшествующий"
sthāna,(n) место
kaṇva,(m) nom. pr Канва
ayam,(m) от idam «это» (N.sg.)
āśrama,(m) обитель
jñātvā,узнав
viś,"попадать, вступать"
praviś,"входить, проникать в"
praviśya,войдя
kas,кто
nu,"сейчас, теперь"
bho,эй! послушайте!
atra,здесь
pracch,"говорить, спрашивать"
