col_a,col_b
pac,"печь, варить, готовить (пищу)"
Parasmaipada,действительный залог
Ātmanepada,средний залог
janaḥ pacati,человек готовит (пищу) / для кого-то другого
janaḥ pacate,человек готовит (пищу) / для самого себя
iṣ,"искать, желать, стремиться к чему-либо (A.)"
khād,"есть, питаться"
gam,идти
cal,"ходить, бродить"
jīv,жить
paṭh,читать
pat,"падать, летать"
likh,писать
vad,говорить
vas,"жить, обитать"
īkṣ,"смотреть, видет"
kamp,бояться
bhāṣ,говорить
labh,получать
vart,вертеться
śikṣ,учиться
vṛkṣa,(m) дерево
kutra,куда? когда? где?
kvann,где? когда?для чего?
sarvatra,"adv. везде, повсюду"
cakravat,"adv. как колесо, подобно спицам колеса"
patra,(n) лист; письмо
evam,"adv. так, таким образом"
kas,(N. sg.) m от ka (кто? что? какой?)
parivart,вращаться
tatra,adv. там; туда
saṃvādas,"беседа, разговор"
vidyālayam,в школу
kimartham,зачем?
adhyayanāya,"для учения, чтобы учиться"
pustakāni,книги
vanam,в лес
puṣpebhyas,за цветами
phalebhyas,"за плодами, за ягодами"
kutra,куда?
pustakam,книга
