col_a,col_b
nadī,(f) река
vadhū,(f) невеста
tantrī,(f) струна
kokila,(f) кукушка
balāka,(f) журавль
bālaka,(m) молодой
bālikā,"(f) молодая, девушка"
gāyaka,(m) певец
gāyakī,(f) певица
haṃsa,(m) гусь
mayūra,(m) павлин
vyāghra,(m) тигр
devatā,(f) божество
nagarī,(n) город
patnī,"(f) госпожа; жена, супруга"
śvaśrū,(f) свекровь
matsya,(m) рыба
amuka,"такой-то, имярек"
anta,"(m,n) ) конец, край, предел"
durjana,"(m) плохой человек, злодей"
īśvara,"(m) господин, повелитель, бог, всевышний"
satya,"верный; надежный, (n) правда, истина"
vāṇijya,(n) торговля
pāśupālya,(n) скотоводство
bhūṣaṇa,(n) украшение
tar,"переправляться через, пересекать"
vart,"вертеться, существовать, жить"
prabudh,пробуждаться
pūj,"почитать, чтить, поклоняться"
kup,"быть сердитым, гневаться на кого-либо"
vastrapūta,"очищенный тканью, т. е. процеженный"
satyapūta,"очищенный правдой, проверенный"
sarva,"весь, целый, всякий, каждый"
likh,"писать, арапать, рисовать"
sarvadā,"adv. всегда, постоянно"
tatas,"adv. после этого, потом, затем; и, а также"
prātar,утро
vā -,или (в постпозиции)
yadā... tadā...,когда... тогда...
yadi... tadā...,если... то...
yathā... evam...,как... так и...
hi,"ибо, так как"
cakra,"(m,n) колесо"
puruṣakāra,"(m) дело, работа человека"
vinā,без
daiva,"(n) божественность, судьба"
sidh,"действовать, совершаться, исполняться"
vidyā,(f) знание
śastra,(n) оружие
śāstra,"(n) учение, наука, шастра"
pratipatti,(f) уважение; успех; слава
ādya,первый
hāsya,(n) смех; шутка
vṛddhatva,(n) старость
dvitīya,второй
ā-dar,"уважаться, почитаться"
sadā,adv. - всегда
