col_a,col_b
āgamana,(n) приход
pradātar,"(m) тот, кто выдает замуж"
saṃbhāṣa,"(n) разговор, беседа"
ativarṣa,"(m, n) сильный дождь, ливень"
ativāta,"(m) сильный ветер, ураган"
adhideva,"(m) высший бог, верховное божество"
adhipati,"(m) повелитель, царь"
upavana,"(n) лесок, подлесок"
upamātar,(f) мачеха
upapurāṇa,(n) вторичные Пураны
pranapāt,(m) правнук
prapitāmahī,(f) прабабушка
prapuruṣa,(m) министр
pradvār,"(m) место снаружи или перед дверью, преддверие"
prapatha,"(m) даль, дальняя дорога"
pratijana,"(m) противник, соперник"
prativāta,(m) встречный ветер
pratipura,(n) неприятельская крепость
pratidāna,(n) ответный дар
pratidhvani,"(n) отзвук, эхо"
prativeśman,"(n) дом, расположенный напротив"
praticakra,"(m, n) парное колесо"
pratidina,(n) каждый день
prativatsara,(m) каждый год
prativana,(n) каждый лес
atikṛṣṇa,"очень черный, очень темный"
abhinava,совсем новый
ārakta,красноватый
āpakva,"недоваренный, полусырой"
atitejas,"очень блестящий, сверкающий"
vimanas,"лишенный разума, неразумный"
udojas,"очень сильный, мощный"
vipāpa,"безгрешный, безупречный"
vinidra,"лишенный сна, бодрствующий"
viguṇa,лишенный добродетели
nirmegha,безоблачный
vijana,"безлюдный, уединенный"
uddaṇḍa,с поднятой палкой
udbāhu,воздевший руки
utkarṇa,"навостривший уши, насторожившийся"
bhāra,"(m) ноша, груз"
kopa,(m) гнев
bhūta,(m)существо
niścaya,(m) мнение
śuddha,чистый
pramāṇa,"(n) размер, величина"
rakta,красный
mukha,(n) лицо
aśru,"(m, n) слеза"
anna,"(n) еда, пища"
matsya,(m) рыба
mala,(m) грязь
pakṣa,(m) крыло
vastra,"(n) платье, одежда"
atikrama,(m) нарушение срока
durātman,"(m) злой, подлый, наглый, дерзкий"
svāmin,"(m) господин, повелитель"
kūpa,"(m) углубление, колодец"
pratibimba,"(m) отражение (в воде, в зеркале)"
vaśa,"(m) находящийся во власти чего либо, кого"
velā,"(f) время, срок"
kṣutpipāsā,"(f) голод, жажда"
bhrānti,"(f) заблуждение, ошибка, воображение, грёзы"
pañcatva,"(n) пять первичных элементов (земля, вода, огонь, воздух, эфир), распад, разложение, смерть"
abhibhūta,"одолеваемый, охваченный"
antara,"другой, отличный от (+Abl.)"
upakrānta,"приблизившийся, начавший, начатый"
pūrṇa,"наполненный, полный"
saṃrudh,"преграждать путь, останавливать"
palāy,"бежать, убегать, исчезать"
nipat,падать
tatas,оттуда
katham api – как,"то , едва"
kutas,откуда
tvaritam,adv. поспешно; скоро
atīva,"adv. чрезвычайно, очень"
upari,"наверху, вверх, сверх того, потом"
