col_a,col_b
nī,"вести, брать, уводить"
netar,"тот, кто ведет; вождь"
nayati,он ведет
guṇa,"(m) качество, свойство, добродетель"
vṛddhi,"приращение, рост"
ji,побеждать
jetar,победитель
jayati,он побеждает
jeya,которого следует победить
pāṇi,(m) рука
vāri,(n) вода
guru,(m) учитель
dhenu,(f) корова
aśru,(n) слеза
bharata,"nom. pr. ""Бхарата"""
bhārata,"потомок Бхараты, ""относящийся к Бхарате"""
śiva,"nom. Pr. имя бога ""Шива"""
śaiva,"потомок Шивы, ""относящийся к Шиве"";"
mitra,(m) друг
maitra,дружеский
pura,"(n) город, крепость"
paura,городской
deva,"(m) бог, божество"
daiva,божественный
megha,"(m) облакo,туча"
puṣpa,(n) цветок
indra,"nom. Pr. Имя бога ""Индра"""
sūrya,"(m) солнце, nom. pr. имя бога ""Сурья"""
śarada,(f) осень
hima,"(m) холодный; прохладный, холод, зима"
vasanta,(m) весна
grīṣma,"(m) лето, жара, зной"
upala,(m) камень
śānti,"(f) мир, покой"
vasu,(n) pl. вещи
giri,(m) гора
agni,"(m) огонь, nоm. рr. Имя бога ""Агни"""
ṛṣi,"(m) автор и певец священных гимнов, мудрец, отшельник"
siṃha,(m) лев
parabhūmi,"(f) чужбина (букв, чужая, другая земля)"
svabhūmi,(f) родина (букв. своя земля)
madhu,"сладкий, приятный, мёд, нектар"
mṛga,"(m) животное, газель, антилопа"
ari,"враждебный, враг, неприятель"
grantha,"(m) текст, книга"
hari,"желтый, зеленый, Хари (эпитет многих богов)"
sādhu,"хороший, благой, праведный, (m) святой человек, садху"
paśu,"(m) скот, мелкий домашний скот"
kṣīra,(n) молоко
rātri,(f) ночь
vas,"жить, обитать"
dah,"гореть, сжигать"
tuṣ,"быть довольным, наслаждаться чем-либо"
śaṃs,"рассказывать, хвалить, восхвалять"
bahis,"из, от, снаружи, наружу"
vidyāvihīna,лишенный знания
sarva,"весь, целый, всякий, каждый"
parvata,(m) гора
bhaya,"(n) опасность (для кого-либо), боязнь (чего-либо)"
vajra,"(n) молния, алмаз"
padma,"(m, n) лотос"
śiśira,(m) прохлада; холод
pādapa,(m) растение (букв. пьющий корнями)
vāta,(m) ветер
sajjana,"(n) благой человек, хороший человек"
khala,(m) злодей
divā,adv. днем
ulūka,(m) сова
kāka,(m) ворона
naktam,adv. ночью
mūḍha,"(m) глупец, невежда"
