col_a,col_b
kṛtavant,делавший
śrutavant,слушавший
jagmivaṃs,шедший
gacchant,идущий
likhant,пишущий
bhavant,"сущий, существующий"
vasant,живущий
kurvant,делающий
dadant,дающий
labhamāna,получающий
bhāṣamāṇa,говорящий
tanvāna,тянущийся
sunvāna,"выжимающийся, рождающийся"
anyá,другой
anyátara,один из двух
ítara,различный
ekatama,один (из многих)
katará,который (из двух?)
katamá,который (из многих?)
yatará,который (из двух)
yatamá,который (из многих)
sárva,"весь, целый, каждый"
pára,"другой, дальний"
pū́rva,передний
tasminneva vṛkṣe,ведь к этому дереву
rājannabhiprāyamimaṃ tava,"о царь, это твое намерение..."
saṃskṛtabhāṣā,(f) язык санскрит
jananī,"(f) родительница, мать"
kāvya,"(n) поэтический жанр, поэма"
śāstra,"(n) научный трактат, шастра"
darśana,"(n) философское учение, система"
vedavedAn̄gāni,Веды и веданги ( pl.)
upanibandh,"создавать, сочинять, писать"
kālidāsa,"(m) nom. pr. поэта и драматурга, автора драмы Шакунтала"
manas,"(n) душа, дух, ум, мысль"
ram,находить удовольствие в...(L);
upaniṣad,"( f ) упанишада (корпус текстов, венчающих религиозно философскую традицию ведийского периода)"
śānti,"(f) мир, спокойствие"
ānanda,"(m,n) радость, удовольствие"
vid,находить
atas,поэтому
mati,"(f) мысль, цель, понятие, мнение"
kṛpayā,пожалуйста
pratipatray,отвечать на письмо
