col_a,col_b
dīyáte,дается
ádīyata,давался
dīyásva,будь дан
dīyèta,пусть будет дан
śī,лежать
grah,"брать, схватывать, привлекать, очаровывать"
pāṇiṃ grah,жениться
bhagavan,"(m) о, господин!"
dūta,"(m) вестник, посланец"
chātra,(m) ученик
svadeśa,"(m) своя страна, родина"
vidvān,"(m) N.sg. от vidvaṃs ученый, мудрец"
sarit,(f) река
gīta,"(n) песня, пение"
nagara,"(n) город, поселение"
vidvattva,"(n) ученость, эрудиция"
nṛpatva,"(n) царское достоинство, господство, власть"
upadiś,"наставлять кого-либо в чем-либо, поучать, проповедовать"
vand,"почитать, поклоняться, восхвалять"
prakāś,"сиять, светить"
tulya,"равный (по положению), равнозначный"
kadācana,"когда-нибудь, когда-то, однажды"
naiva,ведь не
kamala,"розовый, (m, n) лотос, цветок лотоса"
saras,"(n) озеро, пруд (здесь L.sg)"
pan̄ka,"(m) ил, тина"
kānicid,"какие-то, некоторые, при повторе – одни...другие"
kusuma,"(n) цветок, цветение"
mukulita,"закрытый, не распустившийся (о цветке)"
vikasita,"раскрывшийся, расцветший (о цветке)"
madhyabhāga,"(m) средняя часть, середина"
kiñjalka,"(m, n) тычинка"
sugandhi,"ароматный, благоухающий"
parāga,(m) пыльца (цветка)
vid,находиться
madhukara,(m) пчела
prādhānyena,"adv. главным образом, преимущественно"
madhu,(n) мед
jā,"(f) род, сорт"
nānājātayas,"разные сорта, виды (N.pl.)"
nīla,голубой
ambhoruha,(m) дневной цветок лотоса
rakta,красный
kokanada,(n) назв. красного лотоса
sita,"белый, светлый"
puṇḍarīka,"(n) цветок лотоса, особенно белого, название особого жертвенного обряда"
jan,"рождаться, расти"
