col_a,col_b
uṣaḥkāla,"время (богини) Ушас, рассвет"
mahiman,(m) величие; благородство
aśva,(m) конь
pakṣin,(m) птица
ulūka,(m) сова
cakravākī,(f) красноватый гусь
kamala-vana,"(n) заросли лотоса (букв, лес лотосов)"
kriyā-bāhulya,"(n) разнообразие дел, обилие дел"
paṇyājira,"(n) лавка, небольшой магазин"
manuṣya,"(n) человек, человеческое сущесство"
caura,"(m) вор, грабитель"
kolāhala,"(m,n) крик, гомон, щебетание"
kṛṣaka,"(m) земледелец, пахарь"
āpaṇika,"(m) торговец, лавочник"
ṛṣi,"(m) риши, мудрец, святой"
yajña,(m) жертвоприношение
vāyu,"(m) ветер, воздух"
asmin,в этом
tam,его
prātar,"утром, по утрам"
sānandam,с радостью
sarvatra,"везде, всюду"
mandam,"медленно, плавно"
jñā,"знать, узнавать, понимать"
ud,подниматься
abhinand,"находить удовольствие, радоваться чему-либо"
prāp,"направляться, стремиться к кому-либо, достигать"
prāpya,получив
tan,"распространять, протягивать"
ullas,"раскрываться,  распускаться (о цветах)"
yā,"идти, идти к"
hu,"жертвовать, приносить в жертву"
vā,"дуть, веять, или"
prārabh,начинать
ākāśa,(m) небо
viśāla,"беспредельный, огромный"
tatra,там
asaṃkhya,бесчисленный
nakṣatra,"(n) небесное светило, звезда, созвездие"
candra,(m) луна
bhauma,(m) планета Марс
budha,(m) планета Меркурий
guru,(m) планета Юпитер
śukra,(m) планета Венера
śani,(m) планета Сатурн
rātri,(f) ночь
prakāśa,"(m) лучи, свет"
śītala,холодный
pūrṇimā,(f) ночь полнолуния
bimba,(n) диск
vartula,круглый
krameṇa,adv. постепенно
kṣi,"уменьшаться, исчезать"
amāvasyā,(f) ночь новолуния
tasya,его
śuklapakṣa,(m) светлая половина лунного месяца (от новолуния до полнолуния)
vṛddhi,"(f) увеличение, рост"
vṛddhiṃ gam,"увеличиваться, расти"
kṛṣṇapakṣa,(m) темная половина месяца
tārā,(f) звезда
naś,уничтожать
vayam,мы
śobhā,"(f) красота, великолепие"
