col_a,col_b
°ra,"помогающий, способствующий"
ya,который
sa,"этот, он"
ha,"ведь, же"
kara,"(m) рука, делающий"
cara,движущийся
bala,"(n) сила, могущество"
jala,(n) вода
bhava,"(m) происхождение, существо"
tala,"(n) плоскость, ладонь"
ratha,(m) колесница
dama,"(m) дом, жилище"
vana,(n) лес
nava,"новый, девять"
vara,"отборный, лучший"
varam,"выбор, дар"
daśa,десять
śatam,"сотня, сто"
nara,"(m) человек, герой"
śаrá,(m) стрела
para,"другой, дальнейший"
sama,"одинаковый, ровный"
phalam,(n) плод
katara,который из двух?
vacana,"(n) слово, речь"
caṣaka,"(m) сосуд, чашка"
śaraṇa,"(n) прибежище, защита, покровительство"
caraṇa,"(n) нога, выполнение"
parama,"высший, лучший, очень"
śatatama,сотый
bharata,"nom. pr. ""Бхарата"""
varayatha,вы выбираете
karaṇīya,"то, что должно быть сделано (завтра)"
