col_a,col_b
kva,где? куда?
khyā,называть
jñā,знать
tvā,"A. от ""ты"""
dva,два
plu,плавать
danta,(m) зуб
mnā,указывать
strī,(f) женщина
sthā,"стоять, находиться"
sva,свой
smi,смеяться
hvā,звать
kṣetra,(n)поле
brāhmaṇa,"(m) варна ""брахман"""
kṣatriya,"(m) варна ""кшатрий"""
vaiśya,"(m) варна ""вайша"""
śūdra,"(m) варна ""шудра"""
indra,"nom. pr. имя Бога ""Индра"""
śiva,"nom. pr. имя Бога ""Шива"""
viṣṇu,"nom. pr. имя Бога ""Вишну"""
lakṣmī,"nom. pr. имя Богини ""Лакшми"""
gaṇeśa,"nom. pr. имя Бога ""Ганеша"""
aśvinau,"nom. pr. имя Богов""Ашвины"""
āsīt,"impf. 3 л. sg. ""был, жил"""
vīrasenasuta,(m) сын Вирасены
balī,"(m) N. sg. ""могущественный"""
madra,(m) название народа
madreṣu,"L. pl. ""среди мадров"""
mahātmā,"N. sg. ""великий духом"""
paramadhārmikaḥ,"N. sg. ""очень справедливый"""
śālva,(m) название народа
śālveṣu,"L. pl. ""среди шальвов"""
dharmātmā,"N. sg. ""справедливый"""
pṛthivīpati,"(m) N. sg. ""владыка земли"""
