col_a,col_b
śrī,"славный, знаменитый, известный"
vināyaka,(m) Устранитель препятствий - эпитет бога Ганеши
ayam,"это, этот; он"
asya,его
parameśvara,(m) Всевышний - эпитет бога Шивы
pārvatī,"(f) nom. pr. Парвати, супруга Шивы"
subrahmaṇya,"(m) эпитет Сканды, бога войны, сына Шивы"
śarīra,"(m, n) тело, туловище"
ānana,"(n) рот, лицо"
vart,"вертеться, быть, являться"
gajānana,слоноликий
bhaj,"использоваться, служить"
yadyapi,хотя
tathāpi,"все же, однако"
mukha,"(n) рот, зев, морда, лицо, голова, главный"
śuṇḍā,(f) хобот
vidyate,"находиться, быть, существовать"
gajasyevāsya,"как у слона, как око слона"
vighna,"(m) препятствие, помеха, трудность"
vidyārambhakāla,(m) время начала учебы
bāla,(m) мальчик
namyamāna,почитаемый
apoh,"отклонять, устранять"
govinda,"(m) главный пастух, эпитет бога Кришны"
pratidinam,"каждый день, ежедневно"
tena,"с этим, поэтому"
nirvighnam,"беспрепятственно, без помех"
kārya,(n) дело
sādhay,"выполнять, совершать"
tava,твой
sarvasmin,"весь, каждый"
avighna,"(n) беспрепятственность, успех"
prārth,просить о чем-либо
vakratuṇḍa,имеющий кривой хобот (нос); кривоносый
mahākāya,"грузный, толстый"
koṭisūryasamaprabha,"имеющий блеск, подобный миллионам солнц"
sarvakārya,(n) каждое дело
sarvadā,всегда
