col_a,col_b
atha,"теперь, итак, и, а также"
shrīmat,"знаменитый, известный (прибавляется к названиям произведений и уважаемых лиц)"
bhagavadgītā,"( f ) ""Песнь господа"", назв. Религиозно философской поэмы, Бхагавад-Гита"
saṃjaya,(m)nom. pr. Санджая
pārtha,"(m )сын Притхи, матронимическое имя Арджуны"
samaveta,"собравшийся, сошедшийся вместе"
kuru,"(m) род Куру, потомки Куру, Кауравы"
tatra,туда
sthita,стоящий
pitāmaha,(m) дед (по отцу)
mātula,"(m) брат матери, дядя"
pautra,(m)внук
sakhi,"(m) свояк, муж сестры жены"
śvaśura,"(m) свекор, тесть"
suhṛd,(m) друг
senā,(f) войско
bhratar,(m) брат
svasar,(f) сестра
bhartar,(m) муж
rakṣitar,"защищающий, защитник"
dātar,"дающий, податель"
śāstra,"(n) указание, правило, наука, учение, теория, учебник, священные книги, шастры"
namas,"поклон, почтение, хвала, хвала, слава кому-либо"
pāṇini,Панини (знаменитый древнеиндийский языковед IV—III в. до н.э.)
vācya,"достойный порицания, упрек, порицание"
svasti,да здравствует кто-либо
āprach,прощаться с кем-либо
adhigam,"достигать, доходить, учить, изучать"
anusar,"двигаться за, следовать чему-либо, выполнять (приказ)"
nam,"приветствовать, почитать, поклоняться, кланяться, гнуться"
pūj,"почитать, чтить; поклоняться"
jīvana,"живительный, животворящий"
