col_a,col_b
A.,винительный падеж
A.duplex,двойной винительный падеж
Abl.,отложительный падеж
adj.,прилагательное
adv.,наречие
aor.,аорист
Ā.,средний залог
bah.,сложное посессивное определение
caus.,каузативный глагол
conj.,союз
cpv.,сравнительная степень
D.,дательный падеж
den.,отыменный глагол
des.,желательный глагол
du.,двойственное число
dv.,копулятивное сложное слово
encl.,безударное слово
f,женский род
fut.,будущее время
G.,родительный падеж
ger.,деепричастие
ij.,междометие
inf.,инфинитив
ind.,изъявительное наклонение
I.,творительный падеж
imp.,повелительное наклонение
impf.,прошедшее время
int.,интенсивный глагол
L.,местный падеж
m,мужской род
n,средний род
nom. ag.,имя деятеля
nom. pr.,имя собственное
N.,именительный падеж
opt.,желательное наклонение
P.,действительный залог
part.,причастие
p.,страдательный залог
pf.,прошедшее время
pfph.,описательный перфект
pl.,множественное число
pn.,причастие долженствования
pp.,причастие страдательного залога прошедшего времени
pr.,настоящее время
pref.,префикс
relat.,относительное местоимение
sg.,единственное число
S.,существительное
spv.,превосходная степень
U.,имеющий оба залога
V.,звательная форма
осн.,основа
о.н.в.,основа настоящего времени
