col_a,col_b
evam astu iti,да будет так
eka ekam,один за другим
āhāra artham,для пищи
tena uktam,им сказано
na aham aparāddhaḥ,я не виноват
kva asau durātmā,где этот злодей
tatra paśya iti,посмотри туда
tuṣṭā,"радостная, довольная"
asmi,(pr. 1 л. sg. от as) я есть
aśvapati,"(m) nom. pr. ""Ашвапати"""
var,выбирать
vṛṇomi,(pr. 1 л. sg. от var) выбираю
"vṛṇīṣva, varayasva",(imp. 2 л. sg. от var) выбирай
abravīt,(impf. 3 л. sg. от brū) говорил
uttiṣṭha,(imp. 2 л. sg. от utthā) встань
kariṣyāmi,(fut.1 л. sg. от kar) сделаю
utthā,"вставать, подниматься, вскочить"
brū,"говорить, рассказывать, называть"
evam,"так, таким образом"
vac,"говорить, отвечать, утверждать"
uvāca,сказал
etad,это
etam,(A.sg) этого
varam,"скорее, больше, лучше"
as,"быть, происходить"
āsīt,"он был, жил"
brū,говорить
sā,она
tuṣṭā,довольная
kar,делать
darś,"видеть, смотреть"
paśyati,он смотрит
utthā,"вставать, восходить"
īpsitam,"(adv.) желаемо, угодно"
