col_a,col_b
ka,"кто, который?"
kha,"(n) воздушное пространство, небо"
°ga,идущий
ca,и
°ja,рожденный
ta,тот
°da,дающий
na,не
°pa,пьющий
bha,"(n) звезда, созвездие"
kaṭa,(m) циновка
dama,"(m,n) дом, жилище"
kaja,(n) цветок лотоса
dhana,"(n) богатство, деньги"
khana,(m) яма
nakha,"(m, n) ноготь"
gaja,(m) слон
pada,"(n) шаг, нога"
gaṇa,(m) множество
patha,путь
gata,идущий
bhaga,(m) счастье
jana,(m) человек
mama,"мой, меня"
tana,(n) дитя
kanaka,(n) золото
kanatha,вы довольны
katama,который из многих?
patatha,вы падаете
caṭaka,(m) воробей
gadatha,вы говорите
dhanada,щедрый
gachatha,вы идете
janana,"(n) создание, творение"
janaka,"(m) создатель, творец"
kathana,(n) рассказывание
kathaka,(m) рассказчик
naṭana,(n) танец
gaṇana,(n) счет
naṭaka,"(m) танцор, актер"
gaṇaka,(m) математик
