col_a,col_b
vīras jayati,герой побеждает
bālās gacchanti,мальчики идут
janas api gacchati,человек тоже идет
janās calanti,люди движутся
aśvas annam khādati,лошадь ест корм
abhitas vṛkṣās rohanti,вокруг растут деревья
abhitas,"вокруг, с обеих сторон"
kim,"что?, почему"
patra,(п) лист; письмо
hasta,(m) рука
phala,(n) плод
vīra,"(m) мужчина, герой"
pārthiva,"(m) царь, властелин земли"
aśvapati,m nom. pr. Ащвапати
bhojana,"(n) пища,прием пищи"
mukha,"(n) рот, лицо"
sas,"он, тот, этот"
doṣa,"(m), (n) недостаток, ошибка, промах"
sakṛt,"adv. один раз, однажды"
aṃśa,"(n) часть, порция, доля"
nipat,(А.) падать на
bhūṣaṇa,(n) украшение
dāna,(n) щедрость
satya,"(n) правда, истина"
kaṇṭha,"(m) горло, шея"
śrotra,"(n) ухо, слух"
śāstra,"(n) учение, наука"
kim prayojanam,(n) какая необходимость в чем-либо
lobha,(m)  жадность
krodha,(m) гнев
prabhū,"возникать, P., о.н.в. prabháva-"
kāma,(m) желание
prajan,"появляться, A., о.н.в. prajāya-"
moha,"(m) заблуждение, ошибка"
nāśa,(m) погибель
ca,и
pāpa,(n) зло
kāraṇa,(n) причина
