col_a,col_b
niyuj,ставить на
anurajj,"IV.U. (rajya) льнуть к, быть расположенным к"
pravas,уезжать
nivart,возвращаться
ākāśa,"m воздух, небо"
āśrama,m жилище отшельника
kumāra,"m мальчик, принц"
krīḍā,"f игра, увеселение"
tilaka,m украшение
tīra,n берег
tīrtha,"n место омовения, священное место"
dvīpin,m леопард
mahiṣī,f царица
mṛgayā,f охота
yātrā,"f поход, поездка; средства жизни"
vaṅśa,m род
vṛttānta,"m обстоятельства дела, известия"
sakhī,f подруга
satkāra,m - угощение
agra,"f ā передний, первый"
anurūpa,f ā подходящий
kṛtrima,"f ā сделанный, усыновленный"
gāndharva,f ī подобный гандхарвам
divya,"f ā небесный, чудесный"
mānuṣa,f ī человеческий
samīpa,f ā близкий; n  близость
purā,раньше
