col_a,col_b
anujñā,разрешение
īśvaraḥ,бог
kapotaḥ,голубь
karṇaḥ,ухо
kāmaḥ,"желание, бог любви"
kāraṇam,"основание, причина"
krodhaḥ,гнев
jālam,сеть
dhīḥ,"f ум, проницательность"
nāśaḥ,погибель
"padmaḥ, padmam",лотос
puruṣaḥ,человек
mahārājaḥ,великий царь
muniḥ,"m мудрец, аскет"
mekhalā,пояс
mohaḥ,ослепление
rathaḥ,повозка
lobhaḥ,"алчность, жадность"
vasatiḥ,f жилище
śrīḥ,"f счастье, богиня счастья, богатство"
samudraḥ,океан
sṛṣṭiḥ,f творение
hrīḥ,"f стыдливость, скромность"
"kṛtsnaḥ, kṛtsnā","весь, целый"
cāru,красивый
"dhīraḥ, dhīrā","стойкий, мудрый, мужественный"
"śvetaḥ, śvetā",белый
