col_a,col_b
atas / itas,"отсюда, поэтому"
tatas,"оттуда, потому"
yatas,"откуда, почему (относит.)"
atra,"здесь, сюда"
tatra,"там, туда"
yatra,"где, куда (относит.)"
ittham,(э)так
tathā,так
yathā,как (относит.)
adhunā,теперь
tadā,тогда
yadā,"если, когда"
evam,таким образом
iti,так (цитат.)
"tu, kimtu","но, же"
adya,сегодня
sadā,всегда
sarvatra,"везде, повсюду"
ca,и
iha,здесь
katham,как? каким образом?
kutas,откуда? почему?
"kutra, kva",где? куда?
kadā,когда?
eva,"именно, только"
punar,"опять, снова, но, же"
he,о!
