col_a,col_b
aś,"V Ā. достигать, получать"
ci,U. (также  pra- или sam-) - собирать;
niści,(или viniś-)  решать
pracud,"X P погонять, понуждать"
du,"V P жечь, причинять боль; скорбеть"
dhu,V U. трясти
var,V U. покрывать
apāvar,раскрывать
vivar,"объяснять, являть"
samvar,"закрывать, запирать"
śak,V P - быть в состоянии
star,V U. сыпать
hi,V P посылать
pratyāhū,возвращать
āhāra,m еда
prabhāva,m могущество
bhoga,m наслаждение
mūla,n корень
rasa,"m вкус, чувство"
vipra,m брахман
śabda,"m звук, шум, слово"
nava,f ā новый
puṇya,"f ā похвальный, священный, приносящий счастье"
-bhāj,"участвующий, сопричастный"
manohara,"f ā очаровательный, приятный"
sadṛśa,"f ī похожий, достойный"
