col_a,col_b
samāp,оканчивать
apākar,платить
arh,"I.P. быть достойным, долженствовать"
avagāh,I.Ā. погружаться
vidhā,"делать распоряжение, приказывать"
nart,IV.P. плясать
prabhū,быть могущественным или в состоянии
vācaya,читать
pravart,отправляться
manas kar,"решаться, намереваться"
nāṭaka,n драма
brahmacārin,"m изучающий веду, благочестивый"
vapus,"n тело, стан"
samāja,"m собрание, общество"
sāman,"n ведическая мелодия, pl. SAmaveda"
taruṇa,"f ī молодой, нежный"
priyvādin,говорящий приятное
puṣṭa,"сильный, тучный"
phalavant,"богатый плодами, плодородный"
yajñiya,f ā предназначенный в жертву или  подходящий для нее
samartha,f ā способный
alam,"довольно, очень; с dat. способный; с instr. довольно, долой!"
svairam,по желанию
