col_a,col_b
ācāryaḥ,учитель
kartar,"виновник, делатель, составитель, автор"
kālaḥ,время
kṛpā,"милость, сострадание"
dātar,"податель, щедрый"
durjanaḥ,злодей
draṣṭar,"пророк, судья, составитель (гимнов)"
dhātar,творец
niścayaḥ,"решение, уверенность"
netar,"проводник, вождь"
paṇḍitaḥ,ученый
padam,шаг
prāyaścittam,покаяние
bhartar,"кормилец, содержатель, господин,  муж"
rakṣitar,защитник
vyavahāraḥ,тяжба
śāstar,"каратель, правитель"
sraṣṭar,"творец, творящий"
namas,"почет, хвала (indecl. +Dat.)"
"daridra, ā",бедный
"vara, ā","лучший, превосходнейший"
