col_a,col_b
ape,(apai) уходить
astami,заходить (о светилах и созвездиях)
abhī,"(P.) подходить, приходить"
upe,"(P.) - уходить, исчезать"
udi,(P.) восходить
prabrū,провозглашать
vibrū,объявлять
rata,n любовь
citta,"n ум, сердце"
jina,m Будда
jihvā,f язык
nyāya,m логика
puṣpa,n цветок
praśna,m вопрос
mānava,m человек
manas,"n дух, ум"
vadha,m убийство
sahacara,m товарищ
sākṣin,m свидетель
sahacarī,f супруга
sārasa,m исполинский журавль
udyata,готовый
udyogin,"прилежный, энергичный"
karuṇa,жалкий
-kārin,делающий
svayam,сам
