col_a,col_b
niści,решать
vidāraya,caus. разрывать
paṭ,"I.P - взламывать, расщеплять, прорывать"
abhibhū,"пересылать, преодолевать"
var,I.Ā. (varaya) избирать
āsad,приближаться
āsādaya,"caus. встречать, находить"
has,"IV, I.  P радоваться"
aṅga,"n член, тело"
ākāra,"m форма, стан"
indu,"m месяц, луна"
udara,n живот
ketu,m знамя
koṭi,"f острие, конец"
tālu,n нёбо
cūḍā,f вихо́р (на темени)
jñāna,n познание
tṛṣṇā,"f жажда, страстное желание"
daṃṣṭrā,f зуб
dyuti,"f блеск, сияние"
parvata,m гора
prahāra,"m удар, рана"
prāṇa,"m дыхание, жизнь"
mastaka,n голова
mīna,m рыба
vakṣas,n грудь
varāha,m вепрь
vedanā,f боль
śṛgāla,m шакал
snāyu,"m жила, тетива"
anavadya,f ā безукоризненный
anukūla,f ā благоприятный; n  милость
antara,"f ā внутренний, находящийся между, иной;  n. внутреннее, промежуток, промежуток времени"
bāla,f ā молодой
atha,"и вот, затем"
tat,потому
tāvat,"тогда, между тем"
yāvat,пока
sma,придает настоящему времени  значение прошедшего
