col_a,col_b
apsaras,небесная нимфа
kṣitipaḥ,царь
gandhaḥ,запах
cakṣus,n глаз
candramas,m луна
cāraḥ,шпион
jyā,тетива
jyotis,"n свет, светило, созвездие"
taḍāgaḥ,пруд
tapasvin,"страдающий, кающийся; m аскет"
dvār,"f дверь, ворота"
nālī,труба
payas,"n вода, молоко"
prāṇin,"m тварь, живое существо"
bharatakhaṇḍaḥ,Индия
mantrin,m министр
yajus,n жертвенное изречение
yaśas,n слава
vaṇij,m купец
vayas,n возраст
sumanas,f  цветок
sūryaḥ,солнце
sthānam,место
svāmin,"собственник, господин"
ākṛṣṭa,f ā - натянутый
tejasvin,мужественный
prathama,f ā - первый
mṛta,"f ā - умерший, павший"
sthita,f ā - стоящий
vai,действительно
