col_a,col_b
gauḥ,"m, f - бык, корова; f - речь"
gotvam,природа быка
ghāsaḥ,"корм, сено"
paṃkaḥ,"m, n - болото"
pitar,"du. родители; pl. тени усопших, предки"
budhaḥ,мудрец
māsaḥ,месяц
yugmam,пара
rakṣaṇam,защита
śrāddham,поминальная жертва
adhika,"f  ā - больше, больший, величайший"
kāmadugha,f  ā - исполняющий желание
duṣprayukta,"f ā - плохо устроенный, или  употребленный"
prayukta,f  ā -  употребленный или устроенный
jyeṣṭha,f  ā  - старший
śreṣṭha,f  ā -  лучший
sā,f - она
cet,если 1
nityam,"всегда, ежедневно"
yadi,если 2
samyak,хорошо
