col_a,col_b
upekṣ,"упускать, запускать"
avagaṇ,презирать
uccāraya,произносить
uttar,выходить
pyai,I. Ā. жиреть
bhakṣ,X. P. есть
upabhuj,наслаждаться
paribhū,"презирать, окружать"
majj,VI. P. погружаться
yojaya,запрягать
lag,"I. P. приставать, прижиматься, находиться в"
sad,погибать
aśvin,"m, du. Ащвины (два божества утренней и  вечерней зари, сыновья бога солнца)"
ācāra,"m поведение, благочестивая жизнь"
ṛṇa,n долг
kṣudh,f голод
bhojana,"n питание, еда"
madhuparka,m медовый напиток
muktā,f жемчужина
rākṣasa,m демон
lābha,"m достижение, выгода"
vyādhi,m болезнь
śakaṭa,m тележка
śayyā,f - постель
hala,"m, n плуг"
hāra,"m - цепь, гирлянда"
kṣīṇa,"изнуренный, исхудалый"
tīvra,"большой, стремительный, строгий,  суровый; тяжелый"
bhoḥ,о! эй!
