col_a,col_b
astam gam,заходить (о солнце)
udgam,восходить
sparh,"X.P. (spṛhayati) стремиться, желать"
gaurava,"n. тяжесть, достоинство"
jagat,"n. мир, живущее"
takṣaśilā,f. название столицы страны Гандхары
tiryañc,"m., n. зверь"
tvaṣṭar,"m. создатель, имя бога"
pariṣad,f. собрание
bhṛgukaccha,n. название свящ. места на берегу Нармады (совр. Барох)
vipāka,"m. созревание, воздаяние;"
śrama,"m. труд, усталость"
samāgama,m. встреча
siṃha,m. лев
snāna,n. купание
hariṇa,m. газель
adhīta,"f. ā ученый, образованный"
tasthivaṃs,стоявший; n недвижимое
triśīrṣan,триголовый
daṣṭa,f. ā укушенный
vanavāsin,живущий в лесу
