col_a,col_b
indh,VII U. зажигать
chid,VII U. отрезать
āchid,отнимать
bhañj,"VII P. ломать, разрушать"
bhid,"VII U. колоть, разрубать, разделять"
viśiṣ,"VII P. увеличивать, определять"
saṃhan,II соединять
dhṛtiṃ bandh,IX добиваться
piṣ,"VII P. дробить, молоть, толочь"
hiṃs,"VII P. повреждать, уничтожать"
vaṃśa,m род
avasthā,f состояние
uṣas,f утренняя заря
kaṇṭaka,"m, n колючка, враг"
grāsa,m кусок
taṇḍula,m рис
pātaka,n проступок
pautra,m внук
bandhu,m родственник
lekhana,"n писание, списывание"
manoruj,f сердечная боль или печаль
ucchrita,высокий
kṣātra,подходящий для воинов
pratikūla,f ā неблагоприятный
