col_a,col_b
śrīmat,"богатый, знаменитый"
rājan,m. царь
nāman,n. имя
ātman,m. душа
brahman,"m. имя бога творца; n. брахман,  мировой дух, Веды"
karman,"n. дело, обряд, судьба"
carman,"n. шкура, кожа"
janman,n. рождение
dinaḥ,день
narakaḥ,ад
bhasman,n. зола
yatiḥ,m. аскет
loman,n. волосы
varṣam,n. год
saṃgamaḥ,m. встреча
hantar,m. убийца
āyuṣmant,"долголетний, m величество"
kiyant,сколь великий
kṛpaṇa,"бедный, скупой"
tāvant,столь великий
bhagavant,достопочтенный
dvitīya,второй
priyakarman,милостивый
priyavāc,ласковый
balavant,"сильный, могущественный"
bhāsvant,сияющий
matimant,умный
rūkṣa,"твердый, грубый"
yāvant,сколь многий
vibhu,вездесущий
hata,убитый
prāyeṇa,обыкновенно
