col_a,col_b
andhraḥ,название народа андхра
ṛc,f стих Ригведы
ṛtvij,m жрец
ruj,"f  болезнь, боль"
auṣadham,n лекарство
kāmaduh,"f мифическая корова,  исполнительница всех желаний"
kaunteyaḥ,сын Кунти
dṛś,"f взгляд, глаз"
madhulih,m пчела
mādhuryam,n сладость
vāṣpa,"m, n - слеза"
samrāj,"m царь царей, император"
sāmantaḥ,вассал
svādhyāyaḥ,"чтение (Вед), самообучение"
ākrānta,"f ā - подвергшийся нападению,  подверженный чему"
īśvara,f ā - богатый
nīruj,здоровый
pathya,"f ā - полезный, целительный"
baliṣṭha,f ā - сильнейший
ruddha,"f ā - осажденный, покрытый"
vidviṣṭa,f ā - ненавистный
vṛddha,f ā - старый
vyādhita,f ā - больной
sameta,f ā - снабженный чем
"kadācana, kadāpi, kadācit",когда-то
