col_a,col_b
apakar,VIII U. делать худое
upakar,делать доброе
pratikar,воздавать
kṣaṇ,VIII U. ранить
tan,"VIII U. растягивать, раскладывать,  распростирать, совершать (жертвоприношение)"
ātan,причинять
duṣ,IV P быть запятнанным
man,"VIII Ā. думать, полагать, считать"
anvaya,m потомки
uras,n грудь
kānti,f миловидность
camatkāra,m удивление
tiraskariṇī,f покрывало
doṣa,"m недостаток, ошибка"
nīti,f политика
mahānasa,n кухня
māṃsa,n мясо
lavaṇa,n соль
vyañjana,"n приправа, пряность"
saṅśaya,m сомнение
sūda,m повар
andha,f ā слепой
avaśya,f ā необходимый
-jña,f ā знающий
-bhuj,наслаждающийся
vallabha,"f ā милый, дорогой"
vyalīka,"f ā неправдивый, обманчивый"
śubha,f ā хороший
sajja,f ā готовый
