col_a,col_b
aś,IX P. есть
granth,IX P. плести
nigrah,"сдерживать, держать строго,  держать в руках"
pratigrah,принимать
jñā,IX U. - знать
anujñā,позволять
pā,II P. защищать
puṣ,"IX P. умножать, питать"
prī,IX U. радовать
āplu,обливать
bhā,"II P. сиять, блестеть"
manth,"IX P. пахтать, взбалтывать"
nismā,творить
muṣ,"IX P. красть, обкрадывать"
nirluṇṭh,похищать
var,(vṝ) IX U. избирать
snā,II.-P. купать
apahan,устранять
añjali,m руки сложенные ладонями вместе
icchā,f желание
udaya,m восход
kalā,f серп (луны)
kṛti,f дело
koṣa,"(kośa) m сокровище, сокровищница"
kṣaṇa,"m, n миг, мгновение, время"
cāmīkara,n золото
dānava,m демон
nāga,m змея
netra,"n глаз, привязь, веревка"
mathin,m мутовка
yūpa,m жертвенный столб
lalāṭa,n лоб
vara,"m жених, благосклонность, милость"
śeṣa,m nom. pr. мировой змей
samunnati,f возвышение
dhārmika,праведный
vida,знающий
vivekin,умный
sutarām,"в высшей степени, еще более, очень"
samakṣam,"в присутствии, перед (+ gen.)"
