col_a,col_b
palāy,I. Ā. бежать
āghrā,"(jighrati) I.P. обнюхивать, целовать"
pratāraya,(caus. от pratṝ) обманывать
saṅnah,приготовляться
vyāpādaya,(caus. от vyāpad) умерщвлять
upastar,"(upastṝ) покрывать, сыпать"
bhuj,"есть, кушать"
saṃman,чтить
muh,"IV.P. заблуждаться, быть глупым; падать в  обморок"
uparudh,осаждать
pravartaya,(caus. от pravṛt) продолжать
avaśiṣ,оставаться
darh,"(p.p. dṛḍha) укреплять, устанавливать,  завязывать"
anta,m конец
indraprastha,n Дели
khara,m осел
guhā,f пещера
carita,n жизнь
paura,m горожанин
prāsāda,m дворец
yavana,"m грек, варвар"
sainika,m солдат
sainya,n войско
hastin,m слон
bhūyas,"больше, большей частью"
