col_a,col_b
nyas,поручать
āp,достигать
adhikar,"ставить перед, ставить над"
pracal,I.P двигаться (в походе)
cint,X.P обдумывать
cyu,I. Ā. падать
ādā,брать
samādhā,класть на
nirṇī,"решать, доводить до конца"
vibhaj,"I.P. Ā. раздавать, распределять"
pravraj,"уходить, становиться аскетом"
abhiprāya,"m план, намерение"
ahita,n неприятное
āharaṇa,n принесение
kapi,m обезьяна
karin,m слон
jaya,m победа
durdaśā,f несчастье
pakṣa,"m бок, крыло, партия, сторона"
bheka,m лягушка
laṅkā,f Цейлон
śūra,m герой
sādhana,n средство
setu,"m мост, насыпь"
hanumant,nom. pr. царя обезьян
hutabhuj,m огонь
āpta,надежный
ubha,du. - оба
kṣudra,"f ā, малый, небольшой, ничтожный"
nitya,"f ā, ежедневный, постоянный"
mūrdhaga,"f ā, восходящий на голову"
pratiṣidh,"1P. удерживать, запрещать"
