col_a,col_b
ācakṣ,рассказывать
vyācakṣ,объяснять
ceṣṭ,I Ā. двигаться
aparādh,V P. поступать несправедливо
vilap,"I P. сетовать, жаловаться"
oṣṭha,m губа
kṣaya,m гибель
jetar,m победитель
dayā,"f милосердие, сострадание"
pralaya,m гибель
brahmacarya,"n изучение вед, благочестие"
yāma,m стража (ночная)
vṛta,n поведение
vyākaraṇa,n грамматика
śaṅkā,"f сомнение, размышление"
mṛd,f земля
śruta,n книжная ученость
sarga,m творение
sthiti,"f существование, состояние"
vācya,достойный порицания
anaparāddha,"непогрешимый, невиновный, невинный"
carama,последний
