col_a,col_b
atithiḥ,m гость
anṛtaṃ,неправда
abhyāsaḥ,"изучение, повторение"
ādeśaḥ,"приказание, предписание;"
āsanam,"сидение, стул"
juhūḥ,"f ложка, жертвенная ложка"
pāṭhaḥ,урок
prajā,"тварь, подданый"
bhūḥ,"f земля, почва"
bhūṣaṇam,"украшение, драгоценность"
bhrūḥ,f бровь
vadhūḥ,"f женщина, жена"
vediḥ,f алтарь
śvaśrūḥ,"f теща, свекровь"
stutiḥ,"f хвала, хвалебная песнь"
snuṣā,сноха
"aparaḥ, aparā","низкий, другой"
"paraḥ, parā","высший, другой, чужой, дальний"
"vakraḥ, vakrā","кривой, согнутый"
"sundaraḥ, sundarī",красивый
adhastāt,"под, внизу"
ciram,долго
dīrgham,"далеко, вдаль"
hrasvam,"коротко, ближе к"
mā,отрицание при imp.
vā,или
