col_a,col_b
kanyā,"дочь, девушка"
gaṅgā,Ганг
chāyā,тень
bhāryā,"супруга, жена"
bhāṣā,язык
bhikṣā,милостыня
yamunā,"название реки, Ямуна"
rathyā,улица
vidyā,"знание, наука"
saṃdhyā,сумерки
gṛhasthaḥ,отец семейства
prayāgaḥ,"название города, Праяга"
vihagaḥ,птица
vyādhaḥ,охотник
iṣuḥ,стрела
bhayam,страх
"raṇaḥ, raṇam",сражение
śaraṇam,защита
svargaḥ,небо
hṛdayam,сердце
"kṛṣṇaḥ, kṛṣṇā",черный
"pāpaḥ, pāpā","злой, дурной"
"prabhūtaḥ, prabhūtā",многочисленный
sahasā,"внезапно, быстро"
saha,вместе (+In.)
