col_a,col_b
saṅkal,"X.P. (kala-, kāla-) слагать, прибавлять"
atikram,протекать
jalp,"I.P. говорить, болтать"
bhojaya,(caus) угощать
abhiṣic,помазать в цари
udāhar,приводить
anahilapāṭaka,n город Aṇhilvāḍ
atharvaveda,m Атхарваведа
kaliyuga,m железный век
cakra,n колесо
jyotiṣa,"n астрономия, учебник астрономии"
darśana,n философская система
nakṣatra,n созвездие
pāṇḍava,m сын Pāṇḍu
purāṇa,n собрание мифов и легенд
vikramāditya,m имя царя Ujjayinī
vivāha,"m свадьба, брак"
śaka,m - скиф
śākhā,"f ветка, редакция"
saṃvatsara,m год
anantaram,после
sāṃpratam,теперь
